Total Run Time,60.063,Early Exit, false
Number of Particles of Type 1,150
Number of Particles of Type 2,150
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0.015,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.047,0.094,
1,0.031,0.125,
2,0.047,0.172,
2,0.078,0.25,
2,0.078,0.328,
3,0.078,0.406,
3,0.11,0.516,
3,0.109,0.625,
4,0.11,0.735,
5,0.171,0.906,
5,0.188,1.094,
6,0.187,1.281,
7,0.219,1.5,
7,0.235,1.735,
7,0.234,1.969,
7,0.234,2.203,
7,0.25,2.453,
7,0.219,2.672,
7,0.234,2.906,
6,0.219,3.125,
6,0.203,3.328,
6,0.188,3.516,
6,0.187,3.703,
5,0.188,3.891,
5,0.172,4.063,
5,0.156,4.219,
5,0.156,4.375,
4,0.156,4.531,
5,0.157,4.688,
5,0.156,4.844,
5,0.156,5,
4,0.156,5.156,
4,0.141,5.297,
4,0.125,5.422,
4,0.141,5.563,
5,0.14,5.703,
5,0.172,5.875,
4,0.156,6.031,
5,0.141,6.172,
4,0.156,6.328,
4,0.125,6.453,
4,0.141,6.594,
4,0.125,6.719,
4,0.125,6.844,
4,0.125,6.969,
4,0.141,7.11,
4,0.125,7.235,
3,0.125,7.36,
3,0.093,7.453,
3,0.094,7.547,
3,0.109,7.656,
3,0.094,7.75,
3,0.094,7.844,
3,0.094,7.938,
2,0.093,8.031,
3,0.079,8.11,
3,0.093,8.203,
2,0.094,8.297,
2,0.063,8.36,
3,0.078,8.438,
2,0.093,8.531,
2,0.063,8.594,
3,0.078,8.672,
2,0.094,8.766,
2,0.062,8.828,
2,0.063,8.891,
2,0.062,8.953,
2,0.078,9.031,
2,0.063,9.094,
2,0.062,9.156,
2,0.063,9.219,
2,0.062,9.281,
2,0.079,9.36,
2,0.062,9.422,
2,0.063,9.485,
2,0.062,9.547,
2,0.063,9.61,
2,0.078,9.688,
2,0.062,9.75,
2,0.063,9.813,
2,0.078,9.891,
2,0.062,9.953,
2,0.063,10.016,
2,0.062,10.078,
2,0.063,10.141,
2,0.078,10.219,
2,0.062,10.281,
2,0.063,10.344,
2,0.062,10.406,
2,0.063,10.469,
2,0.078,10.547,
2,0.063,10.61,
2,0.062,10.672,
2,0.063,10.735,
1,0.062,10.797,
2,0.047,10.844,
2,0.062,10.906,
2,0.063,10.969,
1,0.062,11.031,
1,0.032,11.063,
2,0.047,11.11,
2,0.062,11.172,
2,0.063,11.235,
1,0.062,11.297,
2,0.047,11.344,
2,0.062,11.406,
2,0.079,11.485,
2,0.062,11.547,
2,0.078,11.625,
2,0.063,11.688,
2,0.078,11.766,
2,0.062,11.828,
2,0.063,11.891,
2,0.062,11.953,
2,0.063,12.016,
2,0.078,12.094,
2,0.062,12.156,
2,0.063,12.219,
2,0.062,12.281,
2,0.063,12.344,
2,0.078,12.422,
2,0.063,12.485,
2,0.062,12.547,
2,0.063,12.61,
2,0.062,12.672,
2,0.078,12.75,
2,0.063,12.813,
2,0.062,12.875,
2,0.078,12.953,
2,0.063,13.016,
2,0.062,13.078,
2,0.063,13.141,
2,0.062,13.203,
2,0.078,13.281,
2,0.063,13.344,
2,0.062,13.406,
2,0.063,13.469,
1,0.062,13.531,
2,0.047,13.578,
2,0.063,13.641,
2,0.062,13.703,
1,0.063,13.766,
2,0.047,13.813,
2,0.062,13.875,
2,0.063,13.938,
2,0.062,14,
2,0.078,14.078,
2,0.063,14.141,
2,0.062,14.203,
1,0.063,14.266,
2,0.047,14.313,
2,0.062,14.375,
2,0.063,14.438,
2,0.062,14.5,
2,0.078,14.578,
2,0.063,14.641,
2,0.062,14.703,
2,0.078,14.781,
2,0.079,14.86,
2,0.062,14.922,
2,0.063,14.985,
2,0.062,15.047,
2,0.063,15.11,
2,0.078,15.188,
2,0.062,15.25,
2,0.063,15.313,
2,0.062,15.375,
2,0.078,15.453,
2,0.063,15.516,
2,0.062,15.578,
2,0.063,15.641,
2,0.078,15.719,
2,0.062,15.781,
2,0.063,15.844,
2,0.062,15.906,
2,0.079,15.985,
2,0.062,16.047,
2,0.063,16.11,
2,0.078,16.188,
2,0.062,16.25,
2,0.063,16.313,
2,0.062,16.375,
2,0.078,16.453,
2,0.063,16.516,
2,0.062,16.578,
2,0.078,16.656,
2,0.063,16.719,
2,0.062,16.781,
2,0.063,16.844,
2,0.062,16.906,
2,0.063,16.969,
1,0.062,17.031,
2,0.047,17.078,
2,0.063,17.141,
2,0.062,17.203,
1,0.063,17.266,
2,0.047,17.313,
2,0.062,17.375,
2,0.063,17.438,
2,0.062,17.5,
2,0.078,17.578,
2,0.063,17.641,
2,0.062,17.703,
1,0.063,17.766,
1,0.031,17.797,
1,0.031,17.828,
2,0.047,17.875,
2,0.063,17.938,
2,0.062,18,
1,0.063,18.063,
1,0.031,18.094,
2,0.047,18.141,
2,0.062,18.203,
1,0.063,18.266,
2,0.047,18.313,
2,0.062,18.375,
2,0.063,18.438,
2,0.078,18.516,
2,0.062,18.578,
2,0.063,18.641,
2,0.062,18.703,
1,0.063,18.766,
2,0.047,18.813,
2,0.078,18.891,
2,0.062,18.953,
2,0.063,19.016,
2,0.062,19.078,
2,0.063,19.141,
2,0.078,19.219,
2,0.062,19.281,
2,0.063,19.344,
2,0.062,19.406,
2,0.063,19.469,
2,0.078,19.547,
2,0.063,19.61,
2,0.062,19.672,
2,0.063,19.735,
2,0.078,19.813,
2,0.062,19.875,
2,0.063,19.938,
2,0.062,20,
2,0.078,20.078,
2,0.063,20.141,
2,0.062,20.203,
2,0.078,20.281,
2,0.063,20.344,
2,0.062,20.406,
2,0.063,20.469,
2,0.078,20.547,
2,0.063,20.61,
2,0.062,20.672,
2,0.063,20.735,
1,0.062,20.797,
1,0.031,20.828,
2,0.047,20.875,
2,0.063,20.938,
2,0.062,21,
1,0.063,21.063,
1,0.031,21.094,
2,0.047,21.141,
2,0.062,21.203,
1,0.063,21.266,
1,0.031,21.297,
2,0.047,21.344,
2,0.062,21.406,
2,0.063,21.469,
2,0.078,21.547,
2,0.063,21.61,
2,0.062,21.672,
2,0.078,21.75,
2,0.063,21.813,
2,0.062,21.875,
2,0.063,21.938,
2,0.062,22,
1,0.063,22.063,
2,0.047,22.11,
2,0.062,22.172,
2,0.063,22.235,
1,0.062,22.297,
2,0.047,22.344,
2,0.062,22.406,
2,0.063,22.469,
1,0.062,22.531,
1,0.032,22.563,
2,0.047,22.61,
2,0.062,22.672,
2,0.063,22.735,
1,0.062,22.797,
1,0.031,22.828,
1,0.032,22.86,
2,0.046,22.906,
2,0.063,22.969,
1,0.062,23.031,
1,0.032,23.063,
1,0.031,23.094,
2,0.047,23.141,
2,0.078,23.219,
2,0.062,23.281,
2,0.063,23.344,
2,0.062,23.406,
2,0.063,23.469,
2,0.078,23.547,
2,0.063,23.61,
2,0.062,23.672,
2,0.063,23.735,
1,0.062,23.797,
1,0.031,23.828,
2,0.047,23.875,
2,0.063,23.938,
2,0.062,24,
1,0.063,24.063,
1,0.031,24.094,
2,0.047,24.141,
2,0.062,24.203,
1,0.063,24.266,
1,0.031,24.297,
1,0.031,24.328,
2,0.047,24.375,
2,0.063,24.438,
2,0.062,24.5,
1,0.063,24.563,
2,0.047,24.61,
2,0.062,24.672,
2,0.063,24.735,
2,0.078,24.813,
2,0.062,24.875,
2,0.078,24.953,
2,0.063,25.016,
2,0.062,25.078,
2,0.063,25.141,
2,0.062,25.203,
2,0.078,25.281,
2,0.063,25.344,
2,0.062,25.406,
2,0.063,25.469,
1,0.062,25.531,
2,0.047,25.578,
2,0.063,25.641,
2,0.062,25.703,
1,0.063,25.766,
2,0.047,25.813,
2,0.062,25.875,
2,0.063,25.938,
2,0.062,26,
2,0.078,26.078,
2,0.063,26.141,
2,0.062,26.203,
1,0.063,26.266,
2,0.047,26.313,
2,0.062,26.375,
2,0.063,26.438,
2,0.062,26.5,
2,0.078,26.578,
2,0.063,26.641,
2,0.078,26.719,
2,0.062,26.781,
2,0.063,26.844,
2,0.062,26.906,
2,0.063,26.969,
2,0.078,27.047,
2,0.063,27.11,
2,0.062,27.172,
2,0.063,27.235,
2,0.078,27.313,
2,0.062,27.375,
2,0.063,27.438,
2,0.062,27.5,
2,0.078,27.578,
2,0.063,27.641,
2,0.078,27.719,
2,0.062,27.781,
2,0.063,27.844,
2,0.062,27.906,
2,0.063,27.969,
2,0.078,28.047,
2,0.063,28.11,
2,0.062,28.172,
2,0.063,28.235,
1,0.062,28.297,
2,0.047,28.344,
2,0.062,28.406,
2,0.063,28.469,
1,0.062,28.531,
2,0.047,28.578,
2,0.078,28.656,
2,0.063,28.719,
2,0.062,28.781,
2,0.063,28.844,
2,0.062,28.906,
2,0.079,28.985,
2,0.062,29.047,
2,0.063,29.11,
2,0.078,29.188,
2,0.062,29.25,
2,0.063,29.313,
2,0.062,29.375,
2,0.063,29.438,
2,0.062,29.5,
2,0.078,29.578,
2,0.063,29.641,
2,0.062,29.703,
1,0.063,29.766,
1,0.031,29.797,
2,0.047,29.844,
2,0.062,29.906,
2,0.063,29.969,
1,0.062,30.031,
2,0.047,30.078,
2,0.063,30.141,
2,0.062,30.203,
1,0.063,30.266,
1,0.031,30.297,
2,0.047,30.344,
2,0.062,30.406,
2,0.063,30.469,
1,0.062,30.531,
2,0.047,30.578,
2,0.063,30.641,
2,0.062,30.703,
2,0.078,30.781,
2,0.063,30.844,
2,0.062,30.906,
2,0.063,30.969,
1,0.062,31.031,
2,0.047,31.078,
2,0.063,31.141,
2,0.062,31.203,
1,0.063,31.266,
1,0.031,31.297,
1,0.031,31.328,
2,0.047,31.375,
2,0.063,31.438,
2,0.062,31.5,
2,0.078,31.578,
2,0.063,31.641,
2,0.078,31.719,
2,0.062,31.781,
2,0.079,31.86,
2,0.062,31.922,
2,0.063,31.985,
2,0.078,32.063,
2,0.062,32.125,
2,0.063,32.188,
2,0.062,32.25,
2,0.063,32.313,
2,0.062,32.375,
2,0.078,32.453,
2,0.063,32.516,
2,0.062,32.578,
2,0.063,32.641,
2,0.078,32.719,
2,0.062,32.781,
2,0.063,32.844,
2,0.062,32.906,
2,0.063,32.969,
2,0.078,33.047,
2,0.063,33.11,
2,0.062,33.172,
2,0.063,33.235,
1,0.062,33.297,
2,0.047,33.344,
2,0.062,33.406,
2,0.063,33.469,
1,0.062,33.531,
1,0.032,33.563,
2,0.047,33.61,
2,0.062,33.672,
2,0.063,33.735,
1,0.062,33.797,
1,0.031,33.828,
2,0.047,33.875,
2,0.063,33.938,
2,0.062,34,
1,0.063,34.063,
1,0.031,34.094,
2,0.047,34.141,
2,0.062,34.203,
1,0.063,34.266,
1,0.031,34.297,
1,0.031,34.328,
1,0.032,34.36,
2,0.046,34.406,
2,0.063,34.469,
1,0.062,34.531,
2,0.047,34.578,
2,0.063,34.641,
2,0.062,34.703,
1,0.063,34.766,
1,0.031,34.797,
2,0.047,34.844,
2,0.062,34.906,
2,0.063,34.969,
2,0.078,35.047,
2,0.078,35.125,
2,0.063,35.188,
2,0.062,35.25,
2,0.063,35.313,
2,0.062,35.375,
2,0.063,35.438,
2,0.078,35.516,
2,0.062,35.578,
2,0.063,35.641,
2,0.062,35.703,
2,0.078,35.781,
2,0.063,35.844,
2,0.062,35.906,
2,0.063,35.969,
2,0.078,36.047,
2,0.063,36.11,
2,0.062,36.172,
2,0.063,36.235,
1,0.062,36.297,
1,0.031,36.328,
2,0.047,36.375,
2,0.063,36.438,
2,0.062,36.5,
1,0.063,36.563,
1,0.031,36.594,
2,0.047,36.641,
2,0.078,36.719,
2,0.062,36.781,
2,0.063,36.844,
2,0.078,36.922,
2,0.063,36.985,
2,0.062,37.047,
2,0.063,37.11,
2,0.078,37.188,
2,0.062,37.25,
2,0.063,37.313,
2,0.062,37.375,
2,0.063,37.438,
2,0.062,37.5,
2,0.078,37.578,
2,0.063,37.641,
2,0.062,37.703,
1,0.063,37.766,
1,0.031,37.797,
2,0.047,37.844,
2,0.062,37.906,
2,0.063,37.969,
1,0.062,38.031,
1,0.032,38.063,
1,0.031,38.094,
2,0.047,38.141,
2,0.062,38.203,
1,0.063,38.266,
1,0.031,38.297,
1,0.031,38.328,
1,0.032,38.36,
2,0.046,38.406,
2,0.063,38.469,
1,0.062,38.531,
1,0.032,38.563,
1,0.031,38.594,
2,0.047,38.641,
2,0.062,38.703,
1,0.063,38.766,
1,0.031,38.797,
2,0.047,38.844,
2,0.062,38.906,
2,0.063,38.969,
1,0.062,39.031,
1,0.032,39.063,
2,0.047,39.11,
2,0.062,39.172,
2,0.063,39.235,
1,0.062,39.297,
2,0.047,39.344,
2,0.062,39.406,
2,0.063,39.469,
1,0.062,39.531,
1,0.032,39.563,
2,0.047,39.61,
2,0.062,39.672,
2,0.063,39.735,
1,0.062,39.797,
1,0.031,39.828,
2,0.047,39.875,
2,0.063,39.938,
2,0.062,40,
2,0.078,40.078,
2,0.063,40.141,
2,0.062,40.203,
2,0.078,40.281,
2,0.063,40.344,
2,0.062,40.406,
2,0.063,40.469,
2,0.078,40.547,
2,0.063,40.61,
2,0.062,40.672,
2,0.063,40.735,
2,0.078,40.813,
2,0.062,40.875,
2,0.063,40.938,
2,0.062,41,
1,0.063,41.063,
1,0.031,41.094,
2,0.047,41.141,
2,0.062,41.203,
1,0.063,41.266,
1,0.031,41.297,
1,0.031,41.328,
1,0.032,41.36,
2,0.046,41.406,
2,0.063,41.469,
1,0.062,41.531,
2,0.047,41.578,
2,0.063,41.641,
2,0.062,41.703,
2,0.078,41.781,
2,0.063,41.844,
2,0.078,41.922,
2,0.063,41.985,
2,0.062,42.047,
2,0.063,42.11,
2,0.078,42.188,
2,0.062,42.25,
2,0.063,42.313,
2,0.062,42.375,
2,0.063,42.438,
2,0.078,42.516,
2,0.062,42.578,
2,0.078,42.656,
2,0.063,42.719,
2,0.062,42.781,
2,0.079,42.86,
2,0.062,42.922,
2,0.063,42.985,
2,0.062,43.047,
2,0.063,43.11,
2,0.078,43.188,
2,0.062,43.25,
2,0.078,43.328,
2,0.063,43.391,
2,0.062,43.453,
2,0.078,43.531,
2,0.063,43.594,
2,0.062,43.656,
2,0.063,43.719,
2,0.062,43.781,
2,0.079,43.86,
2,0.062,43.922,
2,0.063,43.985,
2,0.062,44.047,
2,0.078,44.125,
2,0.063,44.188,
2,0.062,44.25,
2,0.063,44.313,
2,0.062,44.375,
2,0.078,44.453,
2,0.063,44.516,
2,0.062,44.578,
2,0.063,44.641,
2,0.078,44.719,
2,0.062,44.781,
2,0.063,44.844,
2,0.062,44.906,
2,0.079,44.985,
2,0.062,45.047,
2,0.063,45.11,
2,0.078,45.188,
2,0.062,45.25,
2,0.063,45.313,
2,0.062,45.375,
2,0.063,45.438,
2,0.062,45.5,
2,0.078,45.578,
2,0.063,45.641,
2,0.062,45.703,
1,0.063,45.766,
1,0.031,45.797,
2,0.047,45.844,
2,0.062,45.906,
2,0.063,45.969,
1,0.062,46.031,
1,0.032,46.063,
2,0.047,46.11,
2,0.062,46.172,
2,0.063,46.235,
1,0.062,46.297,
2,0.047,46.344,
2,0.062,46.406,
2,0.063,46.469,
1,0.062,46.531,
1,0.032,46.563,
1,0.031,46.594,
2,0.047,46.641,
2,0.062,46.703,
1,0.063,46.766,
1,0.031,46.797,
2,0.047,46.844,
2,0.062,46.906,
2,0.063,46.969,
1,0.062,47.031,
1,0.032,47.063,
2,0.047,47.11,
2,0.062,47.172,
2,0.063,47.235,
1,0.062,47.297,
1,0.031,47.328,
2,0.047,47.375,
2,0.063,47.438,
2,0.062,47.5,
2,0.078,47.578,
2,0.063,47.641,
2,0.062,47.703,
1,0.063,47.766,
2,0.047,47.813,
2,0.062,47.875,
2,0.063,47.938,
2,0.062,48,
1,0.063,48.063,
2,0.047,48.11,
2,0.062,48.172,
2,0.063,48.235,
1,0.062,48.297,
1,0.031,48.328,
2,0.047,48.375,
2,0.063,48.438,
2,0.062,48.5,
1,0.063,48.563,
2,0.047,48.61,
2,0.062,48.672,
2,0.078,48.75,
2,0.063,48.813,
2,0.062,48.875,
2,0.063,48.938,
2,0.078,49.016,
2,0.062,49.078,
2,0.063,49.141,
2,0.062,49.203,
1,0.063,49.266,
1,0.031,49.297,
2,0.047,49.344,
2,0.062,49.406,
2,0.063,49.469,
1,0.062,49.531,
1,0.032,49.563,
2,0.047,49.61,
2,0.062,49.672,
2,0.063,49.735,
1,0.062,49.797,
2,0.047,49.844,
2,0.062,49.906,
2,0.063,49.969,
1,0.062,50.031,
1,0.032,50.063,
1,0.031,50.094,
2,0.047,50.141,
2,0.062,50.203,
2,0.078,50.281,
2,0.063,50.344,
2,0.062,50.406,
2,0.063,50.469,
2,0.078,50.547,
2,0.063,50.61,
2,0.062,50.672,
2,0.063,50.735,
2,0.078,50.813,
2,0.062,50.875,
2,0.063,50.938,
2,0.062,51,
1,0.063,51.063,
2,0.047,51.11,
2,0.062,51.172,
2,0.063,51.235,
1,0.062,51.297,
1,0.031,51.328,
2,0.047,51.375,
2,0.063,51.438,
2,0.062,51.5,
1,0.063,51.563,
1,0.031,51.594,
1,0.031,51.625,
2,0.047,51.672,
2,0.063,51.735,
1,0.062,51.797,
2,0.047,51.844,
2,0.078,51.922,
3,0.078,52,
2,0.094,52.094,
2,0.062,52.156,
2,0.063,52.219,
2,0.062,52.281,
2,0.063,52.344,
2,0.078,52.422,
2,0.063,52.485,
2,0.062,52.547,
2,0.063,52.61,
2,0.078,52.688,
2,0.062,52.75,
2,0.063,52.813,
2,0.062,52.875,
2,0.078,52.953,
2,0.063,53.016,
2,0.062,53.078,
2,0.063,53.141,
2,0.078,53.219,
2,0.062,53.281,
2,0.063,53.344,
2,0.062,53.406,
2,0.079,53.485,
2,0.062,53.547,
2,0.063,53.61,
2,0.062,53.672,
2,0.078,53.75,
2,0.063,53.813,
2,0.062,53.875,
2,0.063,53.938,
2,0.062,54,
2,0.078,54.078,
2,0.063,54.141,
2,0.062,54.203,
1,0.063,54.266,
1,0.031,54.297,
1,0.031,54.328,
2,0.047,54.375,
2,0.063,54.438,
2,0.062,54.5,
1,0.063,54.563,
2,0.047,54.61,
2,0.062,54.672,
2,0.063,54.735,
1,0.062,54.797,
2,0.047,54.844,
2,0.062,54.906,
2,0.079,54.985,
2,0.062,55.047,
2,0.063,55.11,
2,0.062,55.172,
2,0.078,55.25,
2,0.063,55.313,
2,0.062,55.375,
2,0.078,55.453,
2,0.063,55.516,
2,0.062,55.578,
2,0.063,55.641,
2,0.062,55.703,
1,0.063,55.766,
2,0.047,55.813,
2,0.062,55.875,
2,0.063,55.938,
2,0.062,56,
2,0.078,56.078,
2,0.063,56.141,
2,0.062,56.203,
1,0.063,56.266,
1,0.031,56.297,
1,0.031,56.328,
2,0.047,56.375,
2,0.063,56.438,
2,0.062,56.5,
1,0.063,56.563,
1,0.031,56.594,
2,0.047,56.641,
2,0.062,56.703,
1,0.063,56.766,
1,0.031,56.797,
1,0.031,56.828,
2,0.047,56.875,
2,0.063,56.938,
2,0.062,57,
2,0.078,57.078,
2,0.063,57.141,
2,0.062,57.203,
2,0.078,57.281,
2,0.063,57.344,
2,0.062,57.406,
2,0.063,57.469,
1,0.062,57.531,
2,0.047,57.578,
2,0.063,57.641,
2,0.062,57.703,
1,0.063,57.766,
1,0.031,57.797,
2,0.047,57.844,
2,0.062,57.906,
2,0.063,57.969,
1,0.062,58.031,
1,0.032,58.063,
1,0.031,58.094,
2,0.047,58.141,
2,0.062,58.203,
1,0.063,58.266,
1,0.031,58.297,
1,0.031,58.328,
2,0.047,58.375,
2,0.063,58.438,
2,0.062,58.5,
1,0.063,58.563,
1,0.031,58.594,
2,0.047,58.641,
2,0.062,58.703,
2,0.078,58.781,
2,0.063,58.844,
2,0.062,58.906,
2,0.079,58.985,
2,0.062,59.047,
2,0.063,59.11,
2,0.062,59.172,
2,0.078,59.25,
2,0.063,59.313,
2,0.062,59.375,
2,0.063,59.438,
2,0.062,59.5,
1,0.063,59.563,
2,0.047,59.61,
2,0.062,59.672,
2,0.063,59.735,
1,0.062,59.797,
1,0.031,59.828,
2,0.047,59.875,
2,0.063,59.938,
2,0.062,60,
1,0.063,60.063,
