Number of Particles of Type 1,60
Number of Particles of Type 2,60
Number of Particles of Type 3,60
Number of Particles of Type 4,60
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0.015,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.031,0.078,
1,0.047,0.125,
1,0.031,0.156,
1,0.032,0.188,
1,0.031,0.219,
1,0.031,0.25,
1,0.047,0.297,
1,0.031,0.328,
2,0.047,0.375,
2,0.063,0.438,
2,0.078,0.516,
1,0.047,0.563,
1,0.031,0.594,
1,0.031,0.625,
1,0.031,0.656,
2,0.047,0.703,
1,0.063,0.766,
1,0.031,0.797,
1,0.031,0.828,
1,0.032,0.86,
1,0.031,0.891,
2,0.047,0.938,
2,0.078,1.016,
2,0.062,1.078,
2,0.063,1.141,
2,0.062,1.203,
1,0.063,1.266,
1,0.031,1.297,
1,0.031,1.328,
1,0.032,1.36,
1,0.031,1.391,
1,0.031,1.422,
1,0.016,1.438,
1,0.031,1.469,
1,0.031,1.5,
0,0.031,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
1,0.016,1.547,
0,0.016,1.563,
1,0.015,1.578,
0,0.016,1.594,
1,0.016,1.61,
1,0.031,1.641,
0,0.015,1.656,
1,0.016,1.672,
0,0.016,1.688,
1,0.015,1.703,
0,0.016,1.719,
1,0.016,1.735,
0,0.015,1.75,
0,0.016,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
1,0.015,1.781,
0,0.016,1.797,
1,0.016,1.813,
1,0.031,1.844,
0,0.016,1.86,
1,0.015,1.875,
1,0.031,1.906,
0,0.016,1.922,
1,0.016,1.938,
0,0.015,1.953,
1,0.016,1.969,
1,0.031,2,
0,0.016,2.016,
0,0.015,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
1,0.016,2.047,
1,0.031,2.078,
0,0.016,2.094,
1,0.016,2.11,
0,0.015,2.125,
1,0.016,2.141,
0,0.015,2.156,
1,0.016,2.172,
1,0.031,2.203,
0,0.016,2.219,
1,0.016,2.235,
0,0.015,2.25,
0,0.016,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
1,0.015,2.281,
1,0.032,2.313,
0,0.015,2.328,
0,0,2.328,
1,0.016,2.344,
1,0.031,2.375,
0,0.016,2.391,
1,0.015,2.406,
1,0.032,2.438,
1,0.031,2.469,
1,0.031,2.5,
0,0.031,2.531,
0,0,2.531,
0,0,2.531,
0,0,2.531,
0,0,2.531,
1,0.016,2.547,
0,0.016,2.563,
1,0.015,2.578,
0,0.016,2.594,
1,0.016,2.61,
1,0.031,2.641,
1,0.031,2.672,
0,0.016,2.688,
1,0.015,2.703,
0,0.016,2.719,
1,0.016,2.735,
0,0.015,2.75,
0,0.016,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
1,0.015,2.781,
1,0.032,2.813,
1,0.031,2.844,
0,0.016,2.86,
1,0.015,2.875,
0,0.016,2.891,
1,0.015,2.906,
0,0.016,2.922,
1,0.016,2.938,
1,0.031,2.969,
0,0.016,2.985,
1,0.015,3,
0,0.016,3.016,
0,0.015,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
1,0.016,3.047,
1,0.031,3.078,
1,0.032,3.11,
1,0.031,3.141,
0,0.015,3.156,
1,0.016,3.172,
1,0.031,3.203,
0,0.016,3.219,
0,0,3.219,
1,0.016,3.235,
0,0.031,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
1,0.015,3.281,
0,0.016,3.297,
1,0.016,3.313,
0,0.015,3.328,
1,0.016,3.344,
0,0.016,3.36,
1,0.015,3.375,
0,0.016,3.391,
1,0.015,3.406,
0,0.016,3.422,
1,0.016,3.438,
1,0.031,3.469,
1,0.031,3.5,
0,0.016,3.516,
0,0.015,3.531,
0,0,3.531,
0,0,3.531,
0,0,3.531,
0,0,3.531,
1,0.016,3.547,
0,0.016,3.563,
1,0.015,3.578,
0,0.016,3.594,
1,0.016,3.61,
0,0.015,3.625,
1,0.016,3.641,
0,0.015,3.656,
1,0.016,3.672,
1,0.031,3.703,
0,0.016,3.719,
1,0.016,3.735,
0,0.031,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
0,0,3.766,
1,0.015,3.781,
0,0.016,3.797,
1,0.016,3.813,
0,0.015,3.828,
1,0.016,3.844,
0,0.016,3.86,
1,0.015,3.875,
1,0.031,3.906,
0,0.016,3.922,
1,0.016,3.938,
0,0.015,3.953,
1,0.016,3.969,
0,0.016,3.985,
1,0.015,4,
0,0.016,4.016,
0,0.015,4.031,
0,0,4.031,
0,0,4.031,
0,0,4.031,
0,0,4.031,
1,0.016,4.047,
0,0.016,4.063,
1,0.015,4.078,
0,0.016,4.094,
1,0.016,4.11,
1,0.031,4.141,
1,0.031,4.172,
1,0.031,4.203,
1,0.032,4.235,
0,0.031,4.266,
0,0,4.266,
0,0,4.266,
1,0.015,4.281,
0,0.016,4.297,
1,0.016,4.313,
1,0.031,4.344,
0,0.016,4.36,
1,0.015,4.375,
1,0.031,4.406,
1,0.032,4.438,
0,0.015,4.453,
1,0.016,4.469,
0,0.016,4.485,
1,0.015,4.5,
0,0.031,4.531,
0,0,4.531,
0,0,4.531,
0,0,4.531,
0,0,4.531,
0,0,4.531,
1,0.016,4.547,
1,0.031,4.578,
0,0.016,4.594,
1,0.016,4.61,
1,0.031,4.641,
0,0.015,4.656,
1,0.016,4.672,
0,0.016,4.688,
1,0.015,4.703,
0,0.016,4.719,
1,0.016,4.735,
0,0.031,4.766,
0,0,4.766,
0,0,4.766,
0,0,4.766,
0,0,4.766,
0,0,4.766,
1,0.015,4.781,
1,0.032,4.813,
0,0.015,4.828,
1,0.016,4.844,
0,0.016,4.86,
1,0.015,4.875,
1,0.031,4.906,
0,0.016,4.922,
1,0.016,4.938,
0,0.015,4.953,
1,0.016,4.969,
1,0.031,5,
0,0.016,5.016,
0,0.015,5.031,
0,0,5.031,
0,0,5.031,
0,0,5.031,
1,0.016,5.047,
0,0.016,5.063,
1,0.015,5.078,
1,0.032,5.11,
0,0.015,5.125,
1,0.016,5.141,
1,0.031,5.172,
0,0.016,5.188,
1,0.015,5.203,
1,0.032,5.235,
0,0.031,5.266,
0,0,5.266,
0,0,5.266,
0,0,5.266,
0,0,5.266,
0,0,5.266,
1,0.015,5.281,
0,0.016,5.297,
1,0.016,5.313,
0,0.015,5.328,
1,0.016,5.344,
1,0.031,5.375,
1,0.031,5.406,
1,0.032,5.438,
1,0.031,5.469,
1,0.031,5.5,
0,0.016,5.516,
0,0.015,5.531,
0,0,5.531,
0,0,5.531,
0,0,5.531,
0,0,5.531,
1,0.016,5.547,
1,0.031,5.578,
1,0.032,5.61,
1,0.031,5.641,
1,0.031,5.672,
1,0.031,5.703,
1,0.032,5.735,
0,0.031,5.766,
0,0,5.766,
0,0,5.766,
1,0.015,5.781,
0,0.016,5.797,
1,0.016,5.813,
1,0.031,5.844,
1,0.031,5.875,
0,0.016,5.891,
1,0.015,5.906,
1,0.032,5.938,
1,0.031,5.969,
1,0.031,6,
0,0.031,6.031,
0,0,6.031,
0,0,6.031,
0,0,6.031,
0,0,6.031,
1,0.016,6.047,
1,0.031,6.078,
1,0.032,6.11,
1,0.031,6.141,
1,0.031,6.172,
1,0.031,6.203,
1,0.032,6.235,
0,0.031,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
0,0,6.266,
1,0.015,6.281,
1,0.032,6.313,
1,0.031,6.344,
1,0.031,6.375,
1,0.031,6.406,
1,0.032,6.438,
1,0.031,6.469,
1,0.031,6.5,
0,0.031,6.531,
0,0,6.531,
0,0,6.531,
0,0,6.531,
0,0,6.531,
1,0.016,6.547,
1,0.031,6.578,
1,0.032,6.61,
1,0.031,6.641,
1,0.031,6.672,
0,0.016,6.688,
1,0.015,6.703,
1,0.032,6.735,
0,0.031,6.766,
0,0,6.766,
0,0,6.766,
0,0,6.766,
1,0.015,6.781,
1,0.032,6.813,
1,0.031,6.844,
1,0.031,6.875,
1,0.031,6.906,
1,0.032,6.938,
1,0.031,6.969,
1,0.031,7,
0,0.031,7.031,
0,0,7.031,
0,0,7.031,
1,0.016,7.047,
1,0.031,7.078,
1,0.032,7.11,
1,0.031,7.141,
1,0.031,7.172,
1,0.031,7.203,
1,0.032,7.235,
0,0.031,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
0,0,7.266,
1,0.015,7.281,
1,0.032,7.313,
1,0.031,7.344,
1,0.031,7.375,
1,0.047,7.422,
2,0.047,7.469,
1,0.062,7.531,
1,0.032,7.563,
1,0.031,7.594,
1,0.031,7.625,
1,0.031,7.656,
1,0.032,7.688,
1,0.031,7.719,
1,0.031,7.75,
1,0.031,7.781,
1,0.032,7.813,
1,0.031,7.844,
1,0.031,7.875,
1,0.031,7.906,
1,0.032,7.938,
1,0.031,7.969,
1,0.047,8.016,
1,0.031,8.047,
1,0.047,8.094,
1,0.031,8.125,
1,0.031,8.156,
1,0.032,8.188,
2,0.047,8.235,
1,0.046,8.281,
1,0.047,8.328,
1,0.032,8.36,
1,0.031,8.391,
1,0.031,8.422,
1,0.031,8.453,
1,0.032,8.485,
1,0.031,8.516,
1,0.047,8.563,
1,0.031,8.594,
1,0.031,8.625,
1,0.031,8.656,
1,0.032,8.688,
1,0.031,8.719,
1,0.031,8.75,
1,0.031,8.781,
1,0.047,8.828,
1,0.032,8.86,
1,0.031,8.891,
1,0.031,8.922,
1,0.031,8.953,
1,0.032,8.985,
1,0.031,9.016,
1,0.031,9.047,
1,0.047,9.094,
1,0.031,9.125,
1,0.031,9.156,
1,0.032,9.188,
1,0.031,9.219,
1,0.047,9.266,
1,0.031,9.297,
1,0.031,9.328,
1,0.032,9.36,
1,0.031,9.391,
1,0.031,9.422,
1,0.031,9.453,
1,0.032,9.485,
1,0.031,9.516,
1,0.047,9.563,
1,0.031,9.594,
1,0.031,9.625,
1,0.031,9.656,
1,0.032,9.688,
1,0.031,9.719,
1,0.031,9.75,
1,0.031,9.781,
1,0.047,9.828,
1,0.032,9.86,
1,0.031,9.891,
1,0.031,9.922,
1,0.031,9.953,
1,0.032,9.985,
1,0.046,10.031,
1,0.032,10.063,
1,0.031,10.094,
2,0.047,10.141,
2,0.062,10.203,
1,0.063,10.266,
1,0.031,10.297,
1,0.031,10.328,
1,0.032,10.36,
1,0.031,10.391,
1,0.031,10.422,
2,0.047,10.469,
1,0.062,10.531,
1,0.032,10.563,
1,0.031,10.594,
2,0.047,10.641,
2,0.062,10.703,
1,0.063,10.766,
1,0.031,10.797,
2,0.047,10.844,
2,0.062,10.906,
2,0.063,10.969,
1,0.062,11.031,
1,0.032,11.063,
1,0.031,11.094,
2,0.047,11.141,
2,0.062,11.203,
1,0.063,11.266,
1,0.031,11.297,
1,0.031,11.328,
2,0.047,11.375,
2,0.063,11.438,
2,0.062,11.5,
1,0.063,11.563,
1,0.031,11.594,
1,0.031,11.625,
2,0.047,11.672,
2,0.063,11.735,
1,0.062,11.797,
1,0.031,11.828,
1,0.032,11.86,
1,0.031,11.891,
2,0.047,11.938,
2,0.062,12,
1,0.063,12.063,
1,0.031,12.094,
1,0.031,12.125,
2,0.047,12.172,
2,0.063,12.235,
1,0.062,12.297,
1,0.031,12.328,
1,0.032,12.36,
2,0.046,12.406,
2,0.063,12.469,
2,0.078,12.547,
2,0.063,12.61,
2,0.062,12.672,
2,0.078,12.75,
2,0.063,12.813,
2,0.062,12.875,
2,0.078,12.953,
2,0.063,13.016,
2,0.062,13.078,
2,0.078,13.156,
2,0.063,13.219,
2,0.062,13.281,
2,0.079,13.36,
2,0.062,13.422,
2,0.063,13.485,
2,0.062,13.547,
2,0.078,13.625,
2,0.063,13.688,
2,0.062,13.75,
2,0.078,13.828,
2,0.063,13.891,
2,0.062,13.953,
2,0.078,14.031,
2,0.063,14.094,
2,0.062,14.156,
3,0.079,14.235,
3,0.109,14.344,
3,0.094,14.438,
3,0.109,14.547,
3,0.094,14.641,
3,0.109,14.75,
3,0.11,14.86,
3,0.093,14.953,
3,0.094,15.047,
3,0.109,15.156,
3,0.11,15.266,
3,0.094,15.36,
3,0.093,15.453,
3,0.11,15.563,
3,0.093,15.656,
3,0.11,15.766,
3,0.094,15.86,
4,0.109,15.969,
4,0.141,16.11,
4,0.125,16.235,
4,0.14,16.375,
4,0.141,16.516,
4,0.125,16.641,
4,0.14,16.781,
4,0.141,16.922,
4,0.141,17.063,
4,0.125,17.188,
4,0.14,17.328,
5,0.141,17.469,
5,0.172,17.641,
5,0.172,17.813,
5,0.172,17.985,
5,0.171,18.156,
6,0.188,18.344,
6,0.203,18.547,
6,0.203,18.75,
7,0.219,18.969,
7,0.25,19.219,
8,0.25,19.469,
8,0.266,19.735,
8,0.281,20.016,
9,0.297,20.313,
