Total Run Time,600.031,Early Exit, false
Number of Particles of Type 1,150
Number of Particles of Type 2,150
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.015,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.047,0.094,
2,0.046,0.14,
2,0.079,0.219,
2,0.062,0.281,
2,0.078,0.359,
3,0.078,0.437,
3,0.11,0.547,
3,0.093,0.64,
3,0.11,0.75,
3,0.109,0.859,
4,0.11,0.969,
4,0.156,1.125,
4,0.14,1.265,
4,0.125,1.39,
4,0.125,1.515,
4,0.125,1.64,
4,0.141,1.781,
4,0.125,1.906,
3,0.125,2.031,
3,0.094,2.125,
4,0.109,2.234,
3,0.125,2.359,
3,0.094,2.453,
3,0.109,2.562,
3,0.094,2.656,
3,0.109,2.765,
3,0.094,2.859,
3,0.094,2.953,
3,0.094,3.047,
3,0.109,3.156,
3,0.094,3.25,
3,0.094,3.344,
3,0.109,3.453,
3,0.094,3.547,
3,0.093,3.64,
3,0.094,3.734,
3,0.11,3.844,
3,0.093,3.937,
2,0.094,4.031,
2,0.063,4.094,
2,0.062,4.156,
3,0.078,4.234,
2,0.094,4.328,
2,0.062,4.39,
2,0.063,4.453,
2,0.078,4.531,
2,0.063,4.594,
2,0.062,4.656,
2,0.063,4.719,
2,0.062,4.781,
2,0.063,4.844,
2,0.078,4.922,
2,0.062,4.984,
2,0.063,5.047,
2,0.062,5.109,
2,0.078,5.187,
2,0.078,5.265,
2,0.063,5.328,
2,0.062,5.39,
2,0.063,5.453,
2,0.078,5.531,
2,0.063,5.594,
3,0.078,5.672,
2,0.093,5.765,
2,0.063,5.828,
3,0.078,5.906,
3,0.094,6,
2,0.094,6.094,
2,0.062,6.156,
2,0.063,6.219,
2,0.078,6.297,
2,0.062,6.359,
2,0.063,6.422,
2,0.062,6.484,
2,0.078,6.562,
2,0.063,6.625,
2,0.062,6.687,
2,0.063,6.75,
2,0.062,6.812,
2,0.078,6.89,
2,0.063,6.953,
2,0.062,7.015,
2,0.063,7.078,
2,0.062,7.14,
2,0.079,7.219,
2,0.062,7.281,
2,0.063,7.344,
2,0.062,7.406,
2,0.078,7.484,
2,0.063,7.547,
2,0.062,7.609,
2,0.063,7.672,
2,0.078,7.75,
2,0.062,7.812,
2,0.063,7.875,
2,0.078,7.953,
2,0.062,8.015,
2,0.063,8.078,
2,0.078,8.156,
2,0.063,8.219,
2,0.062,8.281,
2,0.078,8.359,
2,0.063,8.422,
2,0.062,8.484,
2,0.078,8.562,
2,0.063,8.625,
2,0.062,8.687,
2,0.063,8.75,
2,0.062,8.812,
2,0.078,8.89,
2,0.063,8.953,
2,0.062,9.015,
2,0.063,9.078,
2,0.062,9.14,
2,0.063,9.203,
2,0.078,9.281,
2,0.063,9.344,
2,0.062,9.406,
2,0.078,9.484,
2,0.063,9.547,
2,0.062,9.609,
2,0.063,9.672,
2,0.078,9.75,
2,0.062,9.812,
2,0.063,9.875,
2,0.062,9.937,
2,0.063,10,
2,0.078,10.078,
2,0.062,10.14,
2,0.063,10.203,
2,0.078,10.281,
2,0.063,10.344,
2,0.062,10.406,
2,0.063,10.469,
1,0.062,10.531,
2,0.047,10.578,
2,0.062,10.64,
2,0.063,10.703,
1,0.062,10.765,
1,0.032,10.797,
1,0.031,10.828,
2,0.047,10.875,
2,0.062,10.937,
2,0.063,11,
1,0.062,11.062,
1,0.032,11.094,
1,0.031,11.125,
2,0.047,11.172,
2,0.062,11.234,
1,0.063,11.297,
1,0.031,11.328,
2,0.047,11.375,
2,0.062,11.437,
2,0.063,11.5,
2,0.078,11.578,
2,0.062,11.64,
2,0.063,11.703,
1,0.062,11.765,
1,0.032,11.797,
1,0.031,11.828,
2,0.047,11.875,
2,0.062,11.937,
2,0.063,12,
1,0.062,12.062,
2,0.047,12.109,
2,0.063,12.172,
2,0.078,12.25,
2,0.062,12.312,
2,0.063,12.375,
2,0.062,12.437,
2,0.063,12.5,
1,0.062,12.562,
2,0.047,12.609,
2,0.063,12.672,
2,0.062,12.734,
1,0.063,12.797,
2,0.047,12.844,
2,0.062,12.906,
2,0.063,12.969,
1,0.062,13.031,
2,0.047,13.078,
2,0.062,13.14,
2,0.063,13.203,
1,0.062,13.265,
2,0.047,13.312,
2,0.063,13.375,
2,0.062,13.437,
2,0.063,13.5,
1,0.062,13.562,
1,0.032,13.594,
2,0.046,13.64,
2,0.063,13.703,
1,0.062,13.765,
1,0.032,13.797,
1,0.031,13.828,
2,0.047,13.875,
2,0.062,13.937,
2,0.063,14,
1,0.062,14.062,
2,0.047,14.109,
2,0.063,14.172,
2,0.062,14.234,
2,0.078,14.312,
2,0.063,14.375,
2,0.062,14.437,
2,0.063,14.5,
1,0.062,14.562,
2,0.047,14.609,
2,0.063,14.672,
2,0.062,14.734,
1,0.063,14.797,
1,0.031,14.828,
1,0.031,14.859,
2,0.047,14.906,
2,0.063,14.969,
1,0.062,15.031,
1,0.031,15.062,
1,0.032,15.094,
2,0.046,15.14,
2,0.063,15.203,
1,0.062,15.265,
2,0.047,15.312,
2,0.063,15.375,
2,0.062,15.437,
2,0.078,15.515,
2,0.063,15.578,
2,0.062,15.64,
2,0.079,15.719,
2,0.062,15.781,
2,0.063,15.844,
2,0.062,15.906,
2,0.078,15.984,
2,0.063,16.047,
2,0.062,16.109,
2,0.078,16.187,
2,0.063,16.25,
2,0.062,16.312,
2,0.063,16.375,
2,0.062,16.437,
2,0.063,16.5,
2,0.078,16.578,
2,0.062,16.64,
2,0.063,16.703,
1,0.062,16.765,
1,0.032,16.797,
2,0.047,16.844,
2,0.062,16.906,
2,0.063,16.969,
1,0.062,17.031,
1,0.031,17.062,
1,0.032,17.094,
2,0.046,17.14,
2,0.063,17.203,
1,0.062,17.265,
2,0.047,17.312,
2,0.063,17.375,
2,0.062,17.437,
2,0.063,17.5,
1,0.062,17.562,
1,0.032,17.594,
2,0.046,17.64,
2,0.063,17.703,
1,0.062,17.765,
1,0.032,17.797,
1,0.031,17.828,
2,0.047,17.875,
2,0.062,17.937,
2,0.063,18,
2,0.078,18.078,
2,0.062,18.14,
2,0.063,18.203,
2,0.078,18.281,
2,0.063,18.344,
2,0.062,18.406,
2,0.063,18.469,
1,0.062,18.531,
2,0.047,18.578,
2,0.062,18.64,
2,0.063,18.703,
1,0.062,18.765,
2,0.047,18.812,
2,0.063,18.875,
2,0.078,18.953,
2,0.062,19.015,
2,0.063,19.078,
2,0.062,19.14,
2,0.079,19.219,
2,0.062,19.281,
2,0.063,19.344,
2,0.062,19.406,
2,0.063,19.469,
1,0.062,19.531,
2,0.047,19.578,
2,0.062,19.64,
2,0.063,19.703,
1,0.062,19.765,
1,0.032,19.797,
1,0.031,19.828,
2,0.047,19.875,
2,0.062,19.937,
2,0.078,20.015,
2,0.063,20.078,
2,0.062,20.14,
2,0.063,20.203,
2,0.078,20.281,
2,0.063,20.344,
2,0.062,20.406,
2,0.063,20.469,
2,0.078,20.547,
2,0.062,20.609,
2,0.063,20.672,
2,0.062,20.734,
2,0.078,20.812,
2,0.063,20.875,
2,0.062,20.937,
2,0.063,21,
1,0.062,21.062,
2,0.047,21.109,
2,0.063,21.172,
2,0.062,21.234,
1,0.063,21.297,
2,0.047,21.344,
2,0.062,21.406,
2,0.063,21.469,
1,0.062,21.531,
2,0.047,21.578,
2,0.062,21.64,
2,0.063,21.703,
1,0.062,21.765,
1,0.032,21.797,
2,0.047,21.844,
2,0.062,21.906,
2,0.063,21.969,
1,0.062,22.031,
1,0.031,22.062,
1,0.032,22.094,
2,0.046,22.14,
2,0.063,22.203,
1,0.062,22.265,
2,0.047,22.312,
2,0.063,22.375,
2,0.062,22.437,
2,0.063,22.5,
1,0.062,22.562,
1,0.032,22.594,
2,0.046,22.64,
2,0.063,22.703,
1,0.062,22.765,
1,0.032,22.797,
1,0.031,22.828,
1,0.031,22.859,
2,0.047,22.906,
2,0.063,22.969,
2,0.078,23.047,
2,0.062,23.109,
2,0.063,23.172,
2,0.078,23.25,
2,0.062,23.312,
2,0.063,23.375,
2,0.062,23.437,
2,0.063,23.5,
2,0.078,23.578,
2,0.062,23.64,
2,0.063,23.703,
1,0.062,23.765,
1,0.032,23.797,
1,0.031,23.828,
2,0.047,23.875,
2,0.062,23.937,
2,0.063,24,
2,0.078,24.078,
2,0.062,24.14,
2,0.063,24.203,
1,0.062,24.265,
2,0.047,24.312,
2,0.063,24.375,
2,0.062,24.437,
2,0.063,24.5,
2,0.078,24.578,
2,0.062,24.64,
2,0.063,24.703,
1,0.062,24.765,
1,0.032,24.797,
2,0.047,24.844,
2,0.062,24.906,
2,0.063,24.969,
1,0.062,25.031,
1,0.031,25.062,
2,0.047,25.109,
2,0.063,25.172,
2,0.062,25.234,
1,0.063,25.297,
2,0.047,25.344,
2,0.062,25.406,
2,0.063,25.469,
1,0.062,25.531,
2,0.047,25.578,
2,0.062,25.64,
2,0.063,25.703,
2,0.078,25.781,
2,0.063,25.844,
2,0.062,25.906,
2,0.078,25.984,
2,0.063,26.047,
2,0.078,26.125,
2,0.062,26.187,
2,0.063,26.25,
2,0.062,26.312,
2,0.063,26.375,
2,0.078,26.453,
2,0.062,26.515,
2,0.063,26.578,
2,0.062,26.64,
2,0.063,26.703,
2,0.078,26.781,
2,0.063,26.844,
2,0.062,26.906,
2,0.063,26.969,
2,0.078,27.047,
2,0.062,27.109,
2,0.063,27.172,
2,0.062,27.234,
2,0.078,27.312,
2,0.063,27.375,
2,0.062,27.437,
2,0.063,27.5,
2,0.078,27.578,
2,0.062,27.64,
2,0.063,27.703,
1,0.062,27.765,
2,0.047,27.812,
2,0.063,27.875,
2,0.062,27.937,
2,0.063,28,
1,0.062,28.062,
2,0.047,28.109,
2,0.063,28.172,
2,0.062,28.234,
1,0.063,28.297,
2,0.047,28.344,
2,0.062,28.406,
2,0.063,28.469,
1,0.062,28.531,
2,0.047,28.578,
2,0.062,28.64,
2,0.063,28.703,
1,0.062,28.765,
1,0.032,28.797,
1,0.031,28.828,
2,0.047,28.875,
2,0.062,28.937,
2,0.063,29,
2,0.078,29.078,
2,0.062,29.14,
2,0.063,29.203,
2,0.078,29.281,
2,0.063,29.344,
2,0.062,29.406,
2,0.063,29.469,
1,0.062,29.531,
1,0.031,29.562,
2,0.047,29.609,
2,0.063,29.672,
2,0.078,29.75,
2,0.062,29.812,
2,0.078,29.89,
2,0.063,29.953,
2,0.062,30.015,
2,0.063,30.078,
2,0.078,30.156,
2,0.063,30.219,
2,0.062,30.281,
2,0.078,30.359,
2,0.063,30.422,
3,0.078,30.5,
2,0.094,30.594,
2,0.062,30.656,
2,0.063,30.719,
2,0.062,30.781,
2,0.078,30.859,
2,0.063,30.922,
2,0.062,30.984,
2,0.063,31.047,
2,0.062,31.109,
2,0.063,31.172,
2,0.062,31.234,
2,0.078,31.312,
2,0.063,31.375,
2,0.062,31.437,
2,0.063,31.5,
1,0.062,31.562,
2,0.047,31.609,
2,0.063,31.672,
2,0.078,31.75,
2,0.062,31.812,
2,0.063,31.875,
2,0.062,31.937,
2,0.063,32,
2,0.078,32.078,
2,0.062,32.14,
2,0.063,32.203,
1,0.062,32.265,
1,0.032,32.297,
2,0.047,32.344,
2,0.062,32.406,
2,0.078,32.484,
2,0.063,32.547,
2,0.062,32.609,
2,0.063,32.672,
2,0.062,32.734,
2,0.078,32.812,
2,0.063,32.875,
2,0.062,32.937,
2,0.063,33,
2,0.078,33.078,
2,0.062,33.14,
2,0.063,33.203,
1,0.062,33.265,
2,0.047,33.312,
2,0.063,33.375,
2,0.062,33.437,
2,0.063,33.5,
2,0.078,33.578,
2,0.062,33.64,
2,0.063,33.703,
1,0.062,33.765,
2,0.047,33.812,
2,0.063,33.875,
2,0.062,33.937,
2,0.063,34,
1,0.062,34.062,
2,0.047,34.109,
2,0.063,34.172,
2,0.062,34.234,
1,0.063,34.297,
2,0.047,34.344,
2,0.062,34.406,
2,0.063,34.469,
1,0.062,34.531,
1,0.031,34.562,
2,0.047,34.609,
2,0.063,34.672,
2,0.062,34.734,
1,0.063,34.797,
1,0.031,34.828,
2,0.047,34.875,
2,0.062,34.937,
2,0.063,35,
1,0.062,35.062,
1,0.032,35.094,
1,0.031,35.125,
2,0.047,35.172,
2,0.062,35.234,
1,0.063,35.297,
1,0.031,35.328,
1,0.031,35.359,
1,0.031,35.39,
2,0.047,35.437,
2,0.063,35.5,
2,0.078,35.578,
2,0.062,35.64,
2,0.063,35.703,
2,0.078,35.781,
2,0.063,35.844,
2,0.062,35.906,
2,0.063,35.969,
1,0.062,36.031,
1,0.031,36.062,
2,0.047,36.109,
2,0.063,36.172,
2,0.062,36.234,
1,0.063,36.297,
1,0.031,36.328,
2,0.047,36.375,
2,0.062,36.437,
2,0.063,36.5,
1,0.062,36.562,
1,0.032,36.594,
2,0.046,36.64,
2,0.063,36.703,
1,0.062,36.765,
1,0.032,36.797,
2,0.047,36.844,
2,0.062,36.906,
2,0.063,36.969,
1,0.062,37.031,
1,0.031,37.062,
1,0.032,37.094,
2,0.046,37.14,
2,0.063,37.203,
1,0.062,37.265,
1,0.032,37.297,
2,0.047,37.344,
2,0.062,37.406,
2,0.063,37.469,
1,0.062,37.531,
1,0.031,37.562,
2,0.047,37.609,
2,0.063,37.672,
2,0.078,37.75,
2,0.062,37.812,
2,0.063,37.875,
2,0.062,37.937,
2,0.063,38,
2,0.078,38.078,
2,0.062,38.14,
2,0.063,38.203,
1,0.062,38.265,
1,0.032,38.297,
2,0.047,38.344,
2,0.062,38.406,
2,0.063,38.469,
1,0.062,38.531,
2,0.047,38.578,
2,0.062,38.64,
2,0.063,38.703,
1,0.062,38.765,
1,0.032,38.797,
2,0.047,38.844,
2,0.062,38.906,
2,0.063,38.969,
1,0.062,39.031,
1,0.031,39.062,
2,0.047,39.109,
2,0.063,39.172,
2,0.062,39.234,
1,0.063,39.297,
2,0.047,39.344,
2,0.062,39.406,
2,0.063,39.469,
1,0.062,39.531,
1,0.031,39.562,
2,0.047,39.609,
2,0.063,39.672,
2,0.062,39.734,
1,0.063,39.797,
1,0.031,39.828,
2,0.047,39.875,
2,0.062,39.937,
2,0.063,40,
1,0.062,40.062,
1,0.032,40.094,
2,0.046,40.14,
2,0.063,40.203,
1,0.062,40.265,
1,0.032,40.297,
2,0.047,40.344,
2,0.062,40.406,
2,0.063,40.469,
1,0.062,40.531,
2,0.047,40.578,
2,0.062,40.64,
2,0.063,40.703,
1,0.062,40.765,
2,0.047,40.812,
2,0.063,40.875,
2,0.062,40.937,
2,0.063,41,
2,0.078,41.078,
2,0.062,41.14,
2,0.063,41.203,
1,0.062,41.265,
1,0.032,41.297,
1,0.031,41.328,
2,0.047,41.375,
2,0.062,41.437,
2,0.063,41.5,
1,0.062,41.562,
2,0.047,41.609,
2,0.063,41.672,
2,0.062,41.734,
1,0.063,41.797,
1,0.031,41.828,
1,0.031,41.859,
2,0.047,41.906,
2,0.063,41.969,
1,0.062,42.031,
1,0.031,42.062,
2,0.047,42.109,
2,0.063,42.172,
2,0.062,42.234,
1,0.063,42.297,
1,0.031,42.328,
1,0.031,42.359,
2,0.047,42.406,
2,0.063,42.469,
1,0.062,42.531,
2,0.047,42.578,
2,0.062,42.64,
2,0.063,42.703,
1,0.062,42.765,
1,0.032,42.797,
1,0.031,42.828,
2,0.047,42.875,
2,0.062,42.937,
2,0.063,43,
1,0.062,43.062,
2,0.047,43.109,
2,0.063,43.172,
2,0.062,43.234,
1,0.063,43.297,
1,0.031,43.328,
2,0.047,43.375,
2,0.062,43.437,
2,0.063,43.5,
1,0.062,43.562,
1,0.032,43.594,
1,0.031,43.625,
2,0.047,43.672,
2,0.062,43.734,
1,0.063,43.797,
1,0.031,43.828,
2,0.047,43.875,
2,0.062,43.937,
2,0.063,44,
1,0.062,44.062,
1,0.032,44.094,
1,0.031,44.125,
2,0.047,44.172,
2,0.062,44.234,
1,0.063,44.297,
2,0.047,44.344,
2,0.062,44.406,
2,0.063,44.469,
1,0.062,44.531,
1,0.031,44.562,
1,0.032,44.594,
2,0.046,44.64,
2,0.063,44.703,
2,0.078,44.781,
2,0.063,44.844,
2,0.062,44.906,
2,0.063,44.969,
1,0.062,45.031,
1,0.031,45.062,
2,0.047,45.109,
2,0.063,45.172,
2,0.062,45.234,
1,0.063,45.297,
2,0.047,45.344,
2,0.062,45.406,
2,0.063,45.469,
1,0.062,45.531,
1,0.031,45.562,
2,0.047,45.609,
2,0.063,45.672,
2,0.062,45.734,
2,0.078,45.812,
2,0.063,45.875,
2,0.062,45.937,
2,0.063,46,
1,0.062,46.062,
2,0.047,46.109,
2,0.063,46.172,
2,0.062,46.234,
2,0.078,46.312,
2,0.063,46.375,
2,0.062,46.437,
2,0.063,46.5,
1,0.062,46.562,
1,0.032,46.594,
1,0.031,46.625,
2,0.047,46.672,
2,0.062,46.734,
1,0.063,46.797,
1,0.031,46.828,
1,0.031,46.859,
1,0.031,46.89,
2,0.047,46.937,
2,0.063,47,
1,0.062,47.062,
1,0.032,47.094,
1,0.031,47.125,
2,0.047,47.172,
2,0.062,47.234,
1,0.063,47.297,
1,0.031,47.328,
2,0.047,47.375,
2,0.062,47.437,
2,0.063,47.5,
1,0.062,47.562,
1,0.032,47.594,
1,0.031,47.625,
1,0.031,47.656,
2,0.047,47.703,
1,0.062,47.765,
1,0.032,47.797,
1,0.031,47.828,
1,0.031,47.859,
1,0.031,47.89,
2,0.047,47.937,
2,0.063,48,
1,0.062,48.062,
1,0.032,48.094,
1,0.031,48.125,
2,0.047,48.172,
2,0.062,48.234,
1,0.063,48.297,
2,0.047,48.344,
2,0.062,48.406,
2,0.063,48.469,
1,0.062,48.531,
1,0.031,48.562,
2,0.047,48.609,
2,0.063,48.672,
2,0.062,48.734,
1,0.063,48.797,
2,0.047,48.844,
2,0.062,48.906,
2,0.063,48.969,
2,0.078,49.047,
2,0.062,49.109,
2,0.063,49.172,
2,0.062,49.234,
2,0.078,49.312,
2,0.063,49.375,
2,0.062,49.437,
2,0.078,49.515,
2,0.063,49.578,
2,0.062,49.64,
2,0.063,49.703,
1,0.062,49.765,
1,0.032,49.797,
2,0.047,49.844,
2,0.062,49.906,
2,0.063,49.969,
1,0.062,50.031,
2,0.047,50.078,
2,0.062,50.14,
2,0.063,50.203,
1,0.062,50.265,
1,0.032,50.297,
2,0.047,50.344,
2,0.062,50.406,
2,0.063,50.469,
1,0.062,50.531,
1,0.031,50.562,
1,0.032,50.594,
1,0.031,50.625,
2,0.047,50.672,
2,0.062,50.734,
1,0.063,50.797,
1,0.031,50.828,
2,0.047,50.875,
2,0.062,50.937,
2,0.063,51,
1,0.062,51.062,
2,0.047,51.109,
2,0.063,51.172,
2,0.062,51.234,
1,0.063,51.297,
1,0.031,51.328,
2,0.047,51.375,
2,0.062,51.437,
2,0.063,51.5,
1,0.062,51.562,
1,0.032,51.594,
1,0.031,51.625,
2,0.047,51.672,
2,0.062,51.734,
1,0.063,51.797,
1,0.031,51.828,
1,0.031,51.859,
1,0.031,51.89,
2,0.047,51.937,
2,0.063,52,
1,0.062,52.062,
1,0.032,52.094,
1,0.031,52.125,
2,0.047,52.172,
2,0.062,52.234,
1,0.063,52.297,
1,0.031,52.328,
1,0.031,52.359,
2,0.047,52.406,
2,0.063,52.469,
1,0.062,52.531,
2,0.047,52.578,
2,0.062,52.64,
2,0.063,52.703,
1,0.062,52.765,
1,0.032,52.797,
2,0.047,52.844,
2,0.062,52.906,
2,0.063,52.969,
1,0.062,53.031,
1,0.031,53.062,
2,0.047,53.109,
2,0.063,53.172,
2,0.062,53.234,
1,0.063,53.297,
1,0.031,53.328,
2,0.047,53.375,
2,0.062,53.437,
2,0.063,53.5,
1,0.062,53.562,
2,0.047,53.609,
2,0.063,53.672,
2,0.062,53.734,
1,0.063,53.797,
1,0.031,53.828,
2,0.047,53.875,
2,0.062,53.937,
2,0.063,54,
1,0.062,54.062,
1,0.032,54.094,
1,0.031,54.125,
2,0.047,54.172,
2,0.062,54.234,
1,0.063,54.297,
1,0.031,54.328,
1,0.031,54.359,
2,0.047,54.406,
2,0.063,54.469,
1,0.062,54.531,
1,0.031,54.562,
1,0.032,54.594,
2,0.046,54.64,
2,0.063,54.703,
1,0.062,54.765,
1,0.032,54.797,
2,0.047,54.844,
2,0.062,54.906,
2,0.063,54.969,
1,0.062,55.031,
1,0.031,55.062,
2,0.047,55.109,
2,0.063,55.172,
2,0.078,55.25,
2,0.062,55.312,
2,0.063,55.375,
2,0.062,55.437,
2,0.063,55.5,
2,0.078,55.578,
2,0.062,55.64,
2,0.063,55.703,
2,0.078,55.781,
2,0.063,55.844,
2,0.062,55.906,
2,0.063,55.969,
1,0.062,56.031,
2,0.047,56.078,
2,0.062,56.14,
2,0.063,56.203,
1,0.062,56.265,
2,0.047,56.312,
2,0.063,56.375,
2,0.062,56.437,
2,0.063,56.5,
2,0.078,56.578,
2,0.062,56.64,
2,0.063,56.703,
1,0.062,56.765,
1,0.032,56.797,
1,0.031,56.828,
2,0.047,56.875,
2,0.062,56.937,
2,0.063,57,
1,0.062,57.062,
1,0.032,57.094,
1,0.031,57.125,
2,0.047,57.172,
2,0.062,57.234,
1,0.063,57.297,
1,0.031,57.328,
2,0.047,57.375,
2,0.062,57.437,
2,0.063,57.5,
1,0.062,57.562,
1,0.032,57.594,
1,0.031,57.625,
2,0.047,57.672,
2,0.062,57.734,
1,0.063,57.797,
1,0.031,57.828,
1,0.031,57.859,
2,0.047,57.906,
2,0.063,57.969,
1,0.062,58.031,
1,0.031,58.062,
1,0.032,58.094,
1,0.031,58.125,
2,0.047,58.172,
2,0.062,58.234,
1,0.063,58.297,
1,0.031,58.328,
1,0.031,58.359,
2,0.047,58.406,
2,0.078,58.484,
2,0.063,58.547,
2,0.062,58.609,
2,0.063,58.672,
2,0.062,58.734,
2,0.078,58.812,
2,0.063,58.875,
2,0.062,58.937,
2,0.063,59,
1,0.062,59.062,
1,0.032,59.094,
1,0.031,59.125,
2,0.047,59.172,
2,0.062,59.234,
1,0.063,59.297,
1,0.031,59.328,
1,0.031,59.359,
1,0.031,59.39,
2,0.047,59.437,
2,0.063,59.5,
1,0.062,59.562,
2,0.047,59.609,
2,0.063,59.672,
2,0.062,59.734,
1,0.063,59.797,
1,0.031,59.828,
2,0.047,59.875,
2,0.062,59.937,
2,0.063,60,
1,0.062,60.062,
1,0.032,60.094,
1,0.031,60.125,
2,0.047,60.172,
2,0.062,60.234,
1,0.063,60.297,
1,0.031,60.328,
2,0.047,60.375,
2,0.062,60.437,
2,0.063,60.5,
1,0.062,60.562,
1,0.032,60.594,
1,0.031,60.625,
1,0.031,60.656,
2,0.047,60.703,
1,0.062,60.765,
2,0.047,60.812,
2,0.063,60.875,
2,0.062,60.937,
2,0.063,61,
1,0.062,61.062,
2,0.047,61.109,
2,0.063,61.172,
2,0.062,61.234,
1,0.063,61.297,
1,0.031,61.328,
2,0.047,61.375,
2,0.062,61.437,
2,0.063,61.5,
1,0.062,61.562,
1,0.032,61.594,
1,0.031,61.625,
2,0.047,61.672,
2,0.062,61.734,
1,0.063,61.797,
1,0.031,61.828,
1,0.031,61.859,
2,0.047,61.906,
2,0.063,61.969,
1,0.062,62.031,
1,0.031,62.062,
1,0.032,62.094,
2,0.046,62.14,
2,0.063,62.203,
1,0.062,62.265,
1,0.032,62.297,
1,0.031,62.328,
1,0.031,62.359,
2,0.047,62.406,
2,0.063,62.469,
1,0.062,62.531,
1,0.031,62.562,
1,0.032,62.594,
2,0.046,62.64,
2,0.063,62.703,
1,0.062,62.765,
1,0.032,62.797,
1,0.031,62.828,
1,0.031,62.859,
2,0.047,62.906,
2,0.063,62.969,
1,0.062,63.031,
1,0.031,63.062,
1,0.032,63.094,
2,0.046,63.14,
2,0.063,63.203,
1,0.062,63.265,
1,0.032,63.297,
1,0.031,63.328,
2,0.047,63.375,
2,0.062,63.437,
2,0.063,63.5,
1,0.062,63.562,
1,0.032,63.594,
1,0.031,63.625,
2,0.047,63.672,
2,0.062,63.734,
1,0.063,63.797,
1,0.031,63.828,
1,0.031,63.859,
1,0.031,63.89,
2,0.047,63.937,
2,0.063,64,
1,0.062,64.062,
1,0.032,64.094,
1,0.031,64.125,
1,0.031,64.156,
2,0.047,64.203,
1,0.062,64.265,
1,0.032,64.297,
1,0.031,64.328,
2,0.047,64.375,
2,0.062,64.437,
2,0.063,64.5,
2,0.078,64.578,
2,0.062,64.64,
2,0.063,64.703,
1,0.062,64.765,
1,0.032,64.797,
1,0.031,64.828,
2,0.047,64.875,
2,0.062,64.937,
2,0.063,65,
1,0.062,65.062,
1,0.032,65.094,
2,0.046,65.14,
2,0.063,65.203,
1,0.062,65.265,
1,0.032,65.297,
2,0.047,65.344,
2,0.062,65.406,
2,0.063,65.469,
1,0.062,65.531,
1,0.031,65.562,
2,0.047,65.609,
2,0.063,65.672,
2,0.062,65.734,
1,0.063,65.797,
1,0.031,65.828,
2,0.047,65.875,
2,0.078,65.953,
2,0.062,66.015,
2,0.063,66.078,
2,0.062,66.14,
2,0.079,66.219,
2,0.062,66.281,
2,0.063,66.344,
2,0.062,66.406,
2,0.063,66.469,
1,0.062,66.531,
2,0.047,66.578,
2,0.062,66.64,
2,0.063,66.703,
1,0.062,66.765,
1,0.032,66.797,
1,0.031,66.828,
2,0.047,66.875,
2,0.062,66.937,
2,0.063,67,
1,0.062,67.062,
1,0.032,67.094,
1,0.031,67.125,
2,0.047,67.172,
2,0.062,67.234,
1,0.063,67.297,
1,0.031,67.328,
1,0.031,67.359,
2,0.047,67.406,
2,0.063,67.469,
1,0.062,67.531,
1,0.031,67.562,
1,0.032,67.594,
1,0.031,67.625,
1,0.031,67.656,
2,0.047,67.703,
1,0.062,67.765,
1,0.032,67.797,
1,0.031,67.828,
1,0.031,67.859,
1,0.031,67.89,
2,0.047,67.937,
2,0.063,68,
1,0.062,68.062,
1,0.032,68.094,
1,0.031,68.125,
1,0.031,68.156,
2,0.047,68.203,
1,0.062,68.265,
1,0.032,68.297,
1,0.031,68.328,
1,0.031,68.359,
2,0.047,68.406,
2,0.063,68.469,
1,0.062,68.531,
2,0.047,68.578,
2,0.062,68.64,
2,0.063,68.703,
1,0.062,68.765,
1,0.032,68.797,
2,0.047,68.844,
2,0.062,68.906,
2,0.063,68.969,
1,0.062,69.031,
1,0.031,69.062,
2,0.047,69.109,
2,0.063,69.172,
2,0.062,69.234,
1,0.063,69.297,
1,0.031,69.328,
2,0.047,69.375,
2,0.062,69.437,
2,0.063,69.5,
1,0.062,69.562,
1,0.032,69.594,
1,0.031,69.625,
2,0.047,69.672,
2,0.062,69.734,
1,0.063,69.797,
1,0.031,69.828,
2,0.047,69.875,
2,0.062,69.937,
2,0.063,70,
1,0.062,70.062,
1,0.032,70.094,
1,0.031,70.125,
2,0.047,70.172,
2,0.062,70.234,
1,0.063,70.297,
1,0.031,70.328,
1,0.031,70.359,
2,0.047,70.406,
2,0.063,70.469,
1,0.062,70.531,
1,0.031,70.562,
1,0.032,70.594,
2,0.046,70.64,
2,0.063,70.703,
1,0.062,70.765,
1,0.032,70.797,
1,0.031,70.828,
1,0.031,70.859,
1,0.031,70.89,
2,0.047,70.937,
2,0.063,71,
1,0.062,71.062,
2,0.047,71.109,
2,0.063,71.172,
2,0.062,71.234,
1,0.063,71.297,
1,0.031,71.328,
1,0.031,71.359,
2,0.047,71.406,
2,0.063,71.469,
1,0.062,71.531,
1,0.031,71.562,
1,0.032,71.594,
