Total Run Time,10.015,Early Exit, false
Number of Particles of Type 1,75
Number of Particles of Type 2,75
Number of Particles of Type 3,75
Number of Particles of Type 4,75
Number of Updates,Frame Time,TotalTime,
0,0.015,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.031,0.078,
1,0.047,0.125,
1,0.031,0.156,
2,0.047,0.203,
2,0.078,0.281,
2,0.078,0.359,
3,0.078,0.437,
3,0.125,0.562,
4,0.11,0.672,
4,0.14,0.812,
5,0.172,0.984,
5,0.172,1.156,
6,0.188,1.344,
6,0.218,1.562,
8,0.25,1.812,
8,0.266,2.078,
9,0.297,2.375,
9,0.297,2.672,
8,0.281,2.953,
8,0.266,3.219,
8,0.25,3.469,
8,0.265,3.734,
8,0.266,4,
7,0.265,4.265,
7,0.219,4.484,
7,0.235,4.719,
7,0.218,4.937,
6,0.219,5.156,
6,0.203,5.359,
6,0.203,5.562,
6,0.188,5.75,
6,0.187,5.937,
6,0.203,6.14,
5,0.188,6.328,
6,0.172,6.5,
5,0.187,6.687,
5,0.157,6.844,
5,0.171,7.015,
5,0.157,7.172,
4,0.156,7.328,
5,0.141,7.469,
5,0.171,7.64,
4,0.157,7.797,
4,0.125,7.922,
4,0.14,8.062,
4,0.125,8.187,
4,0.125,8.312,
4,0.125,8.437,
4,0.141,8.578,
4,0.141,8.719,
4,0.125,8.844,
4,0.14,8.984,
4,0.125,9.109,
4,0.125,9.234,
4,0.141,9.375,
4,0.125,9.5,
3,0.125,9.625,
3,0.094,9.719,
3,0.109,9.828,
3,0.094,9.922,
3,0.093,10.015,
