Total Run Time,7.187,Early Exit, true
Number of Particles of Type 1,75
Number of Particles of Type 2,75
Number of Particles of Type 3,75
Number of Particles of Type 4,75
Number of Updates,Frame Time,TotalTime,
0,0.015,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
1,0.016,0.031,
2,0.031,0.062,
5,0.078,0.14,
11,0.188,0.328,
25,0.406,0.734,
56,0.938,1.672,
111,1.859,3.531,
-1,3.656,7.187,
