Total Run Time,5.109,Early Exit, true
Number of Particles of Type 1,150
Number of Particles of Type 2,150
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
1,0.015,0.031,
3,0.047,0.078,
7,0.11,0.188,
16,0.265,0.453,
38,0.641,1.094,
82,1.359,2.453,
-1,2.656,5.109,
