Total Run Time,10.047,Early Exit, false
Number of Particles of Type 1,75
Number of Particles of Type 2,75
Number of Particles of Type 3,75
Number of Particles of Type 4,75
Number of Updates,Frame Time,TotalTime,
0,0.015,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.031,0.078,
1,0.031,0.109,
1,0.047,0.156,
1,0.031,0.187,
2,0.047,0.234,
1,0.063,0.297,
2,0.046,0.343,
2,0.079,0.422,
3,0.078,0.5,
3,0.125,0.625,
3,0.093,0.718,
4,0.125,0.843,
5,0.172,1.015,
6,0.203,1.218,
7,0.235,1.453,
7,0.234,1.687,
7,0.235,1.922,
7,0.234,2.156,
8,0.25,2.406,
7,0.25,2.656,
7,0.219,2.875,
7,0.234,3.109,
7,0.234,3.343,
6,0.219,3.562,
6,0.188,3.75,
6,0.203,3.953,
6,0.203,4.156,
6,0.187,4.343,
6,0.204,4.547,
6,0.187,4.734,
6,0.203,4.937,
6,0.203,5.14,
5,0.188,5.328,
5,0.156,5.484,
5,0.172,5.656,
5,0.172,5.828,
6,0.172,6,
5,0.187,6.187,
5,0.156,6.343,
5,0.172,6.515,
5,0.157,6.672,
4,0.156,6.828,
5,0.14,6.968,
4,0.157,7.125,
4,0.125,7.25,
4,0.14,7.39,
4,0.125,7.515,
4,0.125,7.64,
3,0.125,7.765,
3,0.094,7.859,
4,0.109,7.968,
3,0.125,8.093,
3,0.094,8.187,
3,0.094,8.281,
3,0.109,8.39,
3,0.094,8.484,
3,0.094,8.578,
3,0.094,8.672,
3,0.109,8.781,
3,0.094,8.875,
3,0.093,8.968,
3,0.11,9.078,
3,0.094,9.172,
2,0.093,9.265,
2,0.063,9.328,
2,0.062,9.39,
2,0.063,9.453,
2,0.062,9.515,
2,0.078,9.593,
2,0.063,9.656,
2,0.062,9.718,
2,0.063,9.781,
2,0.062,9.843,
2,0.063,9.906,
2,0.078,9.984,
2,0.063,10.047,
