Total Run Time,600.031,Early Exit, false,,,,,
Number of Particles of Type 1,300,,,,,,,
Number of Particles of Type 2,0,,,,,,,
Number of Particles of Type 3,0,,,,,,,
Number of Particles of Type 4,0,,,,,,,
Number of Updates,,TotalTime,,,,Frame,Frame Time A,Frame Time B
2,,14.516,,,,166,0,0.078
2,,14.578,,,,167,0,0.062
2,,14.656,,,,168,0.016,0.078
2,,14.719,,,,169,0,0.063
2,,14.797,,,,170,0,0.078
2,,14.859,,,,171,0,0.062
3,,14.938,,,,172,0.015,0.079
2,,15.031,,,,173,0,0.093
3,,15.109,,,,174,0,0.078
3,,15.203,,,,175,0,0.094
3,,15.313,,,,176,0.016,0.11
3,,15.406,,,,177,0.031,0.093
3,,15.516,,,,178,0,0.11
3,,15.625,,,,179,0,0.109
3,,15.719,,,,180,0.016,0.094
3,,15.828,,,,181,0,0.109
3,,15.922,,,,182,0,0.094
4,,16.047,,,,183,0,0.125
4,,16.172,,,,184,0.015,0.125
3,,16.297,,,,185,0,0.125
3,,16.391,,,,186,0,0.094
3,,16.484,,,,187,0,0.093
3,,16.578,,,,188,0.016,0.094
3,,16.672,,,,189,0,0.094
2,,16.766,,,,190,0,0.094
3,,16.844,,,,191,0,0.078
3,,16.938,,,,192,0.016,0.094
2,,17.031,,,,193,0,0.093
3,,17.109,,,,194,0,0.078
3,,17.203,,,,195,0,0.094
2,,17.297,,,,196,0,0.094
2,,17.359,,,,197,0.015,0.062
2,,17.422,,,,198,0.047,0.063
3,,17.5,,,,199,0,0.078
2,,17.594,,,,200,0,0.094
2,,17.656,,,,201,0,0.062
3,,17.734,,,,202,0.016,0.078
2,,17.828,,,,203,0,0.094
2,,17.891,,,,204,0,0.063
2,,17.953,,,,205,0,0.062
2,,18.016,,,,206,0.015,0.063
2,,18.078,,,,207,0,0.062
2,,18.156,,,,208,0,0.078
2,,18.219,,,,209,0,0.063
2,,18.281,,,,210,0.016,0.062
2,,18.344,,,,211,0.047,0.063
2,,18.406,,,,212,0,0.062
2,,18.484,,,,213,0,0.078
2,,18.547,,,,214,0.016,0.063
2,,18.609,,,,215,0,0.062
2,,18.672,,,,216,0,0.063
2,,18.734,,,,217,0,0.062
2,,18.813,,,,218,0.015,0.079
2,,18.875,,,,219,0,0.062
2,,18.938,,,,220,0,0.063
2,,19.016,,,,221,0,0.078
2,,19.078,,,,222,0,0.062
2,,19.141,,,,223,0.016,0.063
2,,19.203,,,,224,0.031,0.062
1,,19.266,,,,225,0,0.063
2,,19.313,,,,226,0,0.047
2,,19.375,,,,227,0.016,0.062
2,,19.438,,,,228,0,0.063
2,,19.516,,,,229,0,0.078
2,,19.578,,,,230,0,0.062
2,,19.641,,,,231,0.015,0.063
2,,19.703,,,,232,0,0.062
2,,19.781,,,,233,0,0.078
2,,19.844,,,,234,0,0.063
2,,19.906,,,,235,0,0.062
2,,19.969,,,,236,0.016,0.063
2,,20.047,,,,237,0,0.078
2,,20.109,,,,238,0,0.062
2,,20.172,,,,239,0,0.063
2,,20.234,,,,240,0.016,0.062
2,,20.313,,,,241,0,0.079
2,,20.375,,,,242,0,0.062
2,,20.438,,,,243,0,0.063
2,,20.516,,,,244,0,0.078
2,,20.578,,,,245,0.015,0.062
2,,20.656,,,,246,0.031,0.078
2,,20.719,,,,247,0,0.063
2,,20.781,,,,248,0,0.062
2,,20.844,,,,249,0.016,0.063
2,,20.906,,,,250,0,0.062
2,,20.984,,,,251,0,0.078
2,,21.047,,,,252,0,0.063
2,,21.109,,,,253,0,0.062
2,,21.172,,,,254,0.016,0.063
2,,21.234,,,,255,0,0.062
2,,21.313,,,,256,0,0.079
2,,21.375,,,,257,0,0.062
2,,21.438,,,,258,0.015,0.063
2,,21.5,,,,259,0,0.062
1,,21.563,,,,260,0,0.063
2,,21.609,,,,261,0,0.046
2,,21.672,,,,262,0.016,0.063
2,,21.734,,,,263,0.031,0.062
1,,21.797,,,,264,0,0.063
1,,21.828,,,,265,0,0.031
2,,21.875,,,,266,0,0.047
2,,21.938,,,,267,0.016,0.063
2,,22,,,,268,0,0.062
1,,22.063,,,,269,0,0.063
2,,22.109,,,,270,0,0.046
2,,22.172,,,,271,0.015,0.063
2,,22.234,,,,272,0,0.062
1,,22.297,,,,273,0,0.063
1,,22.328,,,,274,0,0.031
2,,22.375,,,,275,0.016,0.047
2,,22.438,,,,276,0,0.063
2,,22.5,,,,277,0,0.062
1,,22.563,,,,278,0,0.063
1,,22.594,,,,279,0.016,0.031
1,,22.625,,,,280,0,0.031
2,,22.672,,,,281,0,0.047
2,,22.734,,,,282,0,0.062
1,,22.797,,,,283,0,0.063
2,,22.844,,,,284,0.015,0.047
2,,22.906,,,,285,0.032,0.062
2,,22.969,,,,286,0,0.063
1,,23.031,,,,287,0,0.062
2,,23.078,,,,288,0.015,0.047
2,,23.141,,,,289,0,0.063
2,,23.203,,,,290,0,0.062
1,,23.266,,,,291,0,0.063
2,,23.313,,,,292,0,0.047
2,,23.375,,,,293,0.016,0.062
2,,23.438,,,,294,0,0.063
2,,23.5,,,,295,0,0.062
1,,23.563,,,,296,0,0.063
2,,23.609,,,,297,0,0.046
2,,23.672,,,,298,0.015,0.063
2,,23.75,,,,299,0,0.078
2,,23.813,,,,300,0,0.063
2,,23.875,,,,301,0,0.062
2,,23.938,,,,302,0.016,0.063
2,,24,,,,303,0.031,0.062
2,,24.078,,,,304,0,0.078
2,,24.141,,,,305,0,0.063
2,,24.203,,,,306,0,0.062
1,,24.266,,,,307,0.016,0.063
2,,24.313,,,,308,0,0.047
2,,24.375,,,,309,0,0.062
2,,24.438,,,,310,0,0.063
2,,24.5,,,,311,0.016,0.062
2,,24.578,,,,312,0,0.078
2,,24.641,,,,313,0,0.063
2,,24.703,,,,314,0,0.062
2,,24.781,,,,315,0,0.078
2,,24.844,,,,316,0.015,0.063
2,,24.906,,,,317,0,0.062
2,,24.969,,,,318,0,0.063
1,,25.031,,,,319,0,0.062
2,,25.078,,,,320,0.016,0.047
2,,25.141,,,,321,0.031,0.063
2,,25.203,,,,322,0,0.062
1,,25.266,,,,323,0,0.063
1,,25.297,,,,324,0.016,0.031
1,,25.328,,,,325,0,0.031
1,,25.359,,,,326,0,0.031
2,,25.406,,,,327,0,0.047
2,,25.469,,,,328,0.015,0.063
1,,25.531,,,,329,0,0.062
1,,25.563,,,,330,0,0.032
1,,25.594,,,,331,0,0.031
2,,25.641,,,,332,0.016,0.047
2,,25.703,,,,333,0,0.062
1,,25.766,,,,334,0,0.063
1,,25.797,,,,335,0,0.031
2,,25.844,,,,336,0.016,0.047
2,,25.906,,,,337,0,0.062
2,,25.969,,,,338,0,0.063
1,,26.031,,,,339,0,0.062
2,,26.078,,,,340,0.015,0.047
2,,26.141,,,,341,0.031,0.063
2,,26.203,,,,342,0,0.062
1,,26.266,,,,343,0,0.063
2,,26.313,,,,344,0,0.047
2,,26.375,,,,345,0.016,0.062
2,,26.438,,,,346,0,0.063
2,,26.5,,,,347,0,0.062
1,,26.563,,,,348,0,0.063
1,,26.594,,,,349,0,0.031
2,,26.641,,,,350,0.016,0.047
2,,26.703,,,,351,0,0.062
1,,26.766,,,,352,0,0.063
1,,26.797,,,,353,0,0.031
1,,26.828,,,,354,0.015,0.031
1,,26.859,,,,355,0,0.031
2,,26.906,,,,356,0,0.047
2,,26.969,,,,357,0,0.063
