Total Run Time,10.641,Early Exit, false
Number of Particles of Type 1,50
Number of Particles of Type 2,50
Number of Particles of Type 3,50
Number of Particles of Type 4,50
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0,0.016,
1,0.015,0.031,
1,0.016,0.047,
2,0.031,0.078,
3,0.047,0.125,
4,0.063,0.188,
4,0.078,0.266,
5,0.078,0.344,
7,0.109,0.453,
9,0.157,0.61,
12,0.203,0.813,
18,0.297,1.11,
22,0.359,1.469,
25,0.422,1.891,
29,0.484,2.375,
31,0.516,2.891,
36,0.594,3.485,
39,0.656,4.141,
42,0.703,4.844,
47,0.781,5.625,
51,0.844,6.469,
55,0.922,7.391,
60,1,8.391,
65,1.078,9.469,
70,1.172,10.641,
