Total Run Time,60.032,Early Exit, false
Number of Particles of Type 1,75
Number of Particles of Type 2,75
Number of Particles of Type 3,75
Number of Particles of Type 4,75
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0,0.016,
0,0,0.016,
0,0.016,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
1,0.015,0.047,
1,0.031,0.078,
1,0.047,0.125,
2,0.047,0.172,
2,0.063,0.235,
2,0.078,0.313,
2,0.078,0.391,
3,0.078,0.469,
3,0.109,0.578,
4,0.125,0.703,
4,0.157,0.86,
5,0.156,1.016,
5,0.172,1.188,
5,0.156,1.344,
5,0.156,1.5,
5,0.172,1.672,
4,0.156,1.828,
4,0.125,1.953,
4,0.141,2.094,
5,0.141,2.235,
4,0.156,2.391,
4,0.141,2.532,
5,0.14,2.672,
5,0.172,2.844,
5,0.172,3.016,
5,0.172,3.188,
5,0.172,3.36,
6,0.187,3.547,
6,0.203,3.75,
7,0.219,3.969,
7,0.234,4.203,
7,0.235,4.438,
7,0.25,4.688,
7,0.234,4.922,
7,0.235,5.157,
8,0.25,5.407,
8,0.265,5.672,
8,0.281,5.953,
9,0.297,6.25,
8,0.282,6.532,
8,0.25,6.782,
8,0.281,7.063,
8,0.25,7.313,
7,0.25,7.563,
7,0.234,7.797,
7,0.219,8.016,
7,0.219,8.235,
6,0.218,8.453,
6,0.204,8.657,
6,0.203,8.86,
6,0.187,9.047,
6,0.188,9.235,
5,0.187,9.422,
5,0.156,9.578,
5,0.157,9.735,
5,0.172,9.907,
5,0.171,10.078,
5,0.157,10.235,
4,0.156,10.391,
4,0.125,10.516,
4,0.141,10.657,
4,0.14,10.797,
4,0.125,10.922,
4,0.141,11.063,
4,0.125,11.188,
4,0.14,11.328,
4,0.125,11.453,
4,0.125,11.578,
4,0.125,11.703,
3,0.125,11.828,
4,0.11,11.938,
3,0.125,12.063,
4,0.109,12.172,
3,0.125,12.297,
3,0.094,12.391,
3,0.094,12.485,
3,0.093,12.578,
3,0.094,12.672,
3,0.11,12.782,
3,0.093,12.875,
3,0.094,12.969,
2,0.094,13.063,
3,0.078,13.141,
3,0.094,13.235,
2,0.093,13.328,
2,0.063,13.391,
2,0.062,13.453,
2,0.079,13.532,
2,0.062,13.594,
2,0.063,13.657,
3,0.078,13.735,
3,0.109,13.844,
3,0.094,13.938,
2,0.094,14.032,
2,0.062,14.094,
2,0.063,14.157,
3,0.078,14.235,
2,0.093,14.328,
2,0.063,14.391,
2,0.062,14.453,
2,0.063,14.516,
2,0.078,14.594,
2,0.063,14.657,
2,0.062,14.719,
2,0.063,14.782,
2,0.062,14.844,
2,0.063,14.907,
2,0.078,14.985,
2,0.062,15.047,
2,0.063,15.11,
2,0.062,15.172,
2,0.063,15.235,
1,0.062,15.297,
2,0.047,15.344,
2,0.063,15.407,
2,0.062,15.469,
1,0.063,15.532,
1,0.031,15.563,
2,0.047,15.61,
2,0.062,15.672,
2,0.078,15.75,
2,0.063,15.813,
2,0.062,15.875,
2,0.063,15.938,
2,0.062,16,
2,0.078,16.078,
2,0.063,16.141,
2,0.078,16.219,
2,0.063,16.282,
2,0.062,16.344,
2,0.063,16.407,
2,0.062,16.469,
1,0.063,16.532,
2,0.046,16.578,
2,0.063,16.641,
2,0.062,16.703,
1,0.063,16.766,
1,0.031,16.797,
1,0.031,16.828,
2,0.047,16.875,
2,0.063,16.938,
2,0.062,17,
1,0.063,17.063,
2,0.047,17.11,
2,0.062,17.172,
2,0.078,17.25,
2,0.063,17.313,
2,0.062,17.375,
2,0.063,17.438,
2,0.062,17.5,
1,0.063,17.563,
2,0.047,17.61,
2,0.062,17.672,
2,0.063,17.735,
1,0.062,17.797,
1,0.031,17.828,
1,0.032,17.86,
2,0.047,17.907,
2,0.062,17.969,
1,0.063,18.032,
1,0.031,18.063,
1,0.031,18.094,
2,0.047,18.141,
2,0.062,18.203,
1,0.063,18.266,
1,0.031,18.297,
1,0.031,18.328,
2,0.047,18.375,
2,0.063,18.438,
2,0.062,18.5,
2,0.078,18.578,
2,0.063,18.641,
2,0.062,18.703,
2,0.079,18.782,
2,0.062,18.844,
2,0.063,18.907,
2,0.062,18.969,
2,0.078,19.047,
2,0.063,19.11,
2,0.062,19.172,
2,0.063,19.235,
1,0.062,19.297,
1,0.031,19.328,
1,0.032,19.36,
2,0.047,19.407,
2,0.062,19.469,
1,0.063,19.532,
1,0.031,19.563,
1,0.031,19.594,
1,0.031,19.625,
2,0.047,19.672,
2,0.063,19.735,
1,0.062,19.797,
1,0.031,19.828,
1,0.032,19.86,
2,0.047,19.907,
2,0.062,19.969,
1,0.063,20.032,
1,0.031,20.063,
1,0.031,20.094,
2,0.047,20.141,
2,0.062,20.203,
2,0.079,20.282,
2,0.062,20.344,
2,0.063,20.407,
2,0.062,20.469,
1,0.063,20.532,
1,0.031,20.563,
1,0.031,20.594,
2,0.047,20.641,
2,0.062,20.703,
1,0.063,20.766,
1,0.031,20.797,
2,0.047,20.844,
2,0.063,20.907,
2,0.062,20.969,
1,0.063,21.032,
1,0.031,21.063,
1,0.031,21.094,
2,0.047,21.141,
2,0.062,21.203,
1,0.063,21.266,
1,0.031,21.297,
1,0.031,21.328,
1,0.032,21.36,
2,0.047,21.407,
2,0.062,21.469,
1,0.063,21.532,
1,0.031,21.563,
1,0.031,21.594,
2,0.047,21.641,
2,0.062,21.703,
1,0.063,21.766,
1,0.031,21.797,
1,0.031,21.828,
1,0.032,21.86,
2,0.047,21.907,
2,0.062,21.969,
1,0.063,22.032,
1,0.031,22.063,
1,0.031,22.094,
2,0.047,22.141,
2,0.062,22.203,
1,0.063,22.266,
1,0.031,22.297,
2,0.047,22.344,
2,0.063,22.407,
2,0.062,22.469,
1,0.063,22.532,
1,0.031,22.563,
1,0.031,22.594,
2,0.047,22.641,
2,0.062,22.703,
1,0.063,22.766,
1,0.031,22.797,
1,0.031,22.828,
2,0.047,22.875,
2,0.063,22.938,
2,0.062,23,
1,0.063,23.063,
2,0.047,23.11,
2,0.062,23.172,
2,0.063,23.235,
1,0.062,23.297,
1,0.031,23.328,
2,0.047,23.375,
2,0.063,23.438,
2,0.062,23.5,
1,0.063,23.563,
1,0.031,23.594,
2,0.047,23.641,
2,0.062,23.703,
1,0.063,23.766,
1,0.031,23.797,
2,0.047,23.844,
2,0.063,23.907,
2,0.062,23.969,
2,0.078,24.047,
2,0.063,24.11,
2,0.062,24.172,
