Total Run Time,60.032,Early Exit, false
Number of Particles of Type 1,300
Number of Particles of Type 2,0
Number of Particles of Type 3,0
Number of Particles of Type 4,0
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0,0.016,
0,0.016,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
0,0,0.032,
1,0.015,0.047,
1,0.031,0.078,
1,0.047,0.125,
2,0.047,0.172,
2,0.078,0.25,
2,0.078,0.328,
2,0.063,0.391,
3,0.078,0.469,
3,0.109,0.578,
3,0.11,0.688,
3,0.109,0.797,
4,0.125,0.922,
4,0.141,1.063,
5,0.14,1.203,
5,0.188,1.391,
5,0.172,1.563,
6,0.187,1.75,
6,0.188,1.938,
6,0.203,2.141,
6,0.203,2.344,
6,0.203,2.547,
6,0.188,2.735,
6,0.203,2.938,
5,0.187,3.125,
5,0.172,3.297,
5,0.156,3.453,
5,0.157,3.61,
5,0.172,3.782,
5,0.156,3.938,
5,0.172,4.11,
4,0.156,4.266,
4,0.125,4.391,
4,0.141,4.532,
4,0.125,4.657,
4,0.125,4.782,
4,0.14,4.922,
4,0.125,5.047,
4,0.125,5.172,
4,0.141,5.313,
4,0.125,5.438,
3,0.125,5.563,
3,0.094,5.657,
3,0.109,5.766,
3,0.094,5.86,
4,0.109,5.969,
3,0.125,6.094,
4,0.109,6.203,
3,0.125,6.328,
3,0.094,6.422,
3,0.094,6.516,
3,0.094,6.61,
3,0.109,6.719,
3,0.109,6.828,
3,0.094,6.922,
3,0.11,7.032,
3,0.093,7.125,
3,0.094,7.219,
3,0.094,7.313,
3,0.094,7.407,
3,0.109,7.516,
3,0.094,7.61,
3,0.093,7.703,
2,0.094,7.797,
3,0.078,7.875,
3,0.094,7.969,
2,0.094,8.063,
2,0.062,8.125,
2,0.063,8.188,
2,0.078,8.266,
2,0.062,8.328,
2,0.063,8.391,
2,0.062,8.453,
2,0.079,8.532,
2,0.062,8.594,
2,0.063,8.657,
2,0.062,8.719,
2,0.063,8.782,
2,0.078,8.86,
2,0.062,8.922,
2,0.063,8.985,
2,0.062,9.047,
2,0.063,9.11,
2,0.078,9.188,
2,0.062,9.25,
2,0.063,9.313,
2,0.062,9.375,
2,0.063,9.438,
2,0.062,9.5,
2,0.078,9.578,
2,0.063,9.641,
2,0.062,9.703,
1,0.063,9.766,
1,0.031,9.797,
1,0.031,9.828,
2,0.047,9.875,
2,0.063,9.938,
2,0.062,10,
1,0.063,10.063,
2,0.047,10.11,
2,0.062,10.172,
2,0.063,10.235,
1,0.062,10.297,
1,0.031,10.328,
1,0.032,10.36,
1,0.031,10.391,
2,0.047,10.438,
2,0.062,10.5,
1,0.063,10.563,
1,0.031,10.594,
1,0.031,10.625,
1,0.032,10.657,
2,0.046,10.703,
1,0.063,10.766,
1,0.031,10.797,
1,0.031,10.828,
1,0.032,10.86,
2,0.047,10.907,
2,0.062,10.969,
1,0.063,11.032,
1,0.031,11.063,
1,0.031,11.094,
1,0.031,11.125,
2,0.047,11.172,
2,0.063,11.235,
1,0.062,11.297,
1,0.031,11.328,
1,0.032,11.36,
2,0.047,11.407,
2,0.062,11.469,
1,0.063,11.532,
1,0.031,11.563,
1,0.031,11.594,
1,0.031,11.625,
2,0.047,11.672,
2,0.063,11.735,
1,0.062,11.797,
2,0.047,11.844,
2,0.063,11.907,
2,0.062,11.969,
1,0.063,12.032,
1,0.031,12.063,
1,0.031,12.094,
2,0.047,12.141,
2,0.062,12.203,
1,0.063,12.266,
1,0.031,12.297,
1,0.031,12.328,
1,0.032,12.36,
2,0.047,12.407,
2,0.062,12.469,
