Number of Particles of Type 1,60
Number of Particles of Type 2,60
Number of Particles of Type 3,60
Number of Particles of Type 4,60
Number of Updates,Frame Time,TotalTime,
0,0,0,
0,0.015,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
1,0.031,0.078,
1,0.031,0.109,
1,0.031,0.14,
1,0.032,0.172,
1,0.031,0.203,
1,0.047,0.25,
1,0.031,0.281,
1,0.031,0.312,
1,0.032,0.344,
1,0.031,0.375,
1,0.047,0.422,
1,0.031,0.453,
1,0.031,0.484,
1,0.047,0.531,
1,0.031,0.562,
1,0.032,0.594,
1,0.031,0.625,
1,0.031,0.656,
1,0.031,0.687,
1,0.016,0.703,
1,0.031,0.734,
0,0.031,0.765,
0,0,0.765,
1,0.016,0.781,
0,0.016,0.797,
1,0.015,0.812,
0,0.016,0.828,
1,0.016,0.844,
1,0.031,0.875,
1,0.031,0.906,
1,0.031,0.937,
1,0.032,0.969,
1,0.031,1,
0,0.031,1.031,
0,0,1.031,
1,0.016,1.047,
1,0.031,1.078,
1,0.031,1.109,
0,0.016,1.125,
0,0,1.125,
1,0.015,1.14,
0,0.016,1.156,
1,0.016,1.172,
0,0.015,1.187,
1,0.016,1.203,
0,0.016,1.219,
1,0.015,1.234,
0,0.016,1.25,
0,0,1.25,
0,0,1.25,
0,0.015,1.265,
0,0,1.265,
0,0,1.265,
0,0,1.265,
0,0,1.265,
1,0.016,1.281,
0,0.016,1.297,
0,0,1.297,
1,0.015,1.312,
0,0.016,1.328,
0,0,1.328,
1,0.016,1.344,
0,0.015,1.359,
1,0.016,1.375,
1,0.031,1.406,
1,0.031,1.437,
0,0.016,1.453,
1,0.016,1.469,
0,0.015,1.484,
0,0,1.484,
1,0.016,1.5,
0,0.015,1.515,
0,0,1.515,
0,0.016,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
1,0.016,1.547,
0,0.015,1.562,
0,0,1.562,
1,0.016,1.578,
0,0.016,1.594,
1,0.015,1.609,
0,0.016,1.625,
0,0,1.625,
1,0.015,1.64,
0,0.016,1.656,
1,0.016,1.672,
0,0.015,1.687,
0,0,1.687,
1,0.016,1.703,
0,0.016,1.719,
0,0,1.719,
1,0.015,1.734,
0,0.016,1.75,
0,0,1.75,
0,0.015,1.765,
0,0,1.765,
0,0,1.765,
0,0,1.765,
0,0,1.765,
1,0.016,1.781,
1,0.031,1.812,
1,0.032,1.844,
0,0.015,1.859,
0,0,1.859,
1,0.016,1.875,
0,0.015,1.89,
1,0.016,1.906,
0,0.016,1.922,
0,0,1.922,
1,0.015,1.937,
0,0.016,1.953,
0,0,1.953,
1,0.016,1.969,
0,0.015,1.984,
0,0,1.984,
1,0.016,2,
0,0.015,2.015,
0,0,2.015,
0,0.016,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
1,0.016,2.047,
0,0.015,2.062,
1,0.016,2.078,
0,0.016,2.094,
0,0,2.094,
1,0.015,2.109,
0,0.016,2.125,
1,0.015,2.14,
0,0.016,2.156,
1,0.016,2.172,
0,0.015,2.187,
0,0,2.187,
1,0.016,2.203,
0,0.016,2.219,
0,0,2.219,
1,0.015,2.234,
0,0.016,2.25,
0,0.015,2.265,
0,0,2.265,
0,0,2.265,
0,0,2.265,
0,0,2.265,
0,0,2.265,
1,0.016,2.281,
0,0.016,2.297,
0,0,2.297,
1,0.015,2.312,
0,0.016,2.328,
0,0,2.328,
1,0.016,2.344,
0,0.015,2.359,
0,0,2.359,
1,0.016,2.375,
0,0.015,2.39,
0,0,2.39,
1,0.016,2.406,
0,0.016,2.422,
0,0,2.422,
1,0.015,2.437,
0,0.016,2.453,
1,0.016,2.469,
0,0.015,2.484,
0,0,2.484,
1,0.016,2.5,
0,0.015,2.515,
0,0,2.515,
0,0.016,2.531,
0,0,2.531,
